'Elapsed time','MLII'
'0:10.622',-0.315
'0:10.625',-0.325
'0:10.628',-0.350
'0:10.631',-0.370
'0:10.633',-0.390
'0:10.636',-0.415
'0:10.639',-0.435
'0:10.642',-0.450
'0:10.644',-0.465
'0:10.647',-0.490
'0:10.650',-0.500
'0:10.653',-0.515
'0:10.656',-0.515
'0:10.658',-0.500
'0:10.661',-0.500
'0:10.664',-0.510
'0:10.667',-0.515
'0:10.669',-0.550
'0:10.672',-0.545
'0:10.675',-0.555
'0:10.678',-0.540
'0:10.681',-0.520
'0:10.683',-0.505
'0:10.686',-0.525
'0:10.689',-0.535
'0:10.692',-0.555
'0:10.694',-0.560
'0:10.697',-0.555
'0:10.700',-0.545
'0:10.703',-0.560
'0:10.706',-0.580
'0:10.708',-0.570
'0:10.711',-0.565
'0:10.714',-0.555
'0:10.717',-0.575
'0:10.719',-0.580
'0:10.722',-0.590
'0:10.725',-0.570
'0:10.728',-0.565
'0:10.731',-0.570
'0:10.733',-0.580
'0:10.736',-0.590
'0:10.739',-0.605
'0:10.742',-0.620
'0:10.744',-0.605
'0:10.747',-0.585
'0:10.750',-0.575
'0:10.753',-0.590
'0:10.756',-0.590
'0:10.758',-0.605
'0:10.761',-0.590
'0:10.764',-0.560
'0:10.767',-0.560
'0:10.769',-0.575
'0:10.772',-0.580
'0:10.775',-0.565
'0:10.778',-0.570
'0:10.781',-0.550
'0:10.783',-0.555
'0:10.786',-0.555
'0:10.789',-0.560
'0:10.792',-0.560
'0:10.794',-0.535
'0:10.797',-0.545
'0:10.800',-0.520
'0:10.803',-0.530
'0:10.806',-0.540
'0:10.808',-0.525
'0:10.811',-0.500
'0:10.814',-0.450
'0:10.817',-0.445
'0:10.819',-0.395
'0:10.822',-0.355
'0:10.825',-0.305
'0:10.828',-0.280
'0:10.831',-0.240
'0:10.833',-0.240
'0:10.836',-0.250
'0:10.839',-0.260
'0:10.842',-0.240
'0:10.844',-0.210
'0:10.847',-0.210
'0:10.850',-0.220
'0:10.853',-0.260
'0:10.856',-0.300
'0:10.858',-0.315
'0:10.861',-0.325
'0:10.864',-0.335
'0:10.867',-0.340
'0:10.869',-0.355
'0:10.872',-0.365
'0:10.875',-0.370
'0:10.878',-0.375
'0:10.881',-0.385
'0:10.883',-0.390
'0:10.886',-0.385
'0:10.889',-0.410
'0:10.892',-0.445
'0:10.894',-0.480
'0:10.897',-0.515
'0:10.900',-0.555
'0:10.903',-0.585
'0:10.906',-0.600
'0:10.908',-0.600
'0:10.911',-0.625
'0:10.914',-0.620
'0:10.917',-0.655
'0:10.919',-0.670
'0:10.922',-0.715
'0:10.925',-0.725
'0:10.928',-0.725
'0:10.931',-0.730
'0:10.933',-0.735
'0:10.936',-0.750
'0:10.939',-0.775
'0:10.942',-0.795
'0:10.944',-0.790
'0:10.947',-0.790
'0:10.950',-0.795
'0:10.953',-0.815
'0:10.956',-0.815
'0:10.958',-0.815
'0:10.961',-0.810
'0:10.964',-0.810
'0:10.967',-0.810
'0:10.969',-0.830
'0:10.972',-0.825
'0:10.975',-0.820
'0:10.978',-0.805
'0:10.981',-0.790
'0:10.983',-0.810
'0:10.986',-0.805
'0:10.989',-0.805
'0:10.992',-0.790
'0:10.994',-0.765
'0:10.997',-0.730
'0:11.000',-0.710
'0:11.003',-0.690
'0:11.006',-0.640
'0:11.008',-0.510
'0:11.011',-0.230
'0:11.014',0.295
'0:11.017',0.920
'0:11.019',1.345
'0:11.022',1.355
'0:11.025',1.150
'0:11.028',0.950
'0:11.031',0.870
'0:11.033',0.810
'0:11.036',0.730
'0:11.039',0.625
'0:11.042',0.495
'0:11.044',0.415
'0:11.047',0.345
'0:11.050',0.265
'0:11.053',0.145
'0:11.056',0.015
'0:11.058',-0.105
'0:11.061',-0.245
'0:11.064',-0.355
'0:11.067',-0.500
'0:11.069',-0.640
'0:11.072',-0.810
'0:11.075',-0.965
'0:11.078',-1.120
'0:11.081',-1.265
'0:11.083',-1.440
'0:11.086',-1.595
'0:11.089',-1.760
'0:11.092',-1.910
'0:11.094',-2.070
'0:11.097',-2.195
'0:11.100',-2.290
'0:11.103',-2.340
'0:11.106',-2.380
'0:11.108',-2.405
'0:11.111',-2.425
'0:11.114',-2.485
'0:11.117',-2.590
'0:11.119',-2.690
'0:11.122',-2.780
'0:11.125',-2.830
'0:11.128',-2.880
'0:11.131',-2.900
'0:11.133',-2.920
'0:11.136',-2.855
'0:11.139',-2.745
'0:11.142',-2.590
'0:11.144',-2.430
'0:11.147',-2.235
'0:11.150',-2.055
'0:11.153',-1.900
'0:11.156',-1.815
'0:11.158',-1.750
'0:11.161',-1.670
'0:11.164',-1.590
'0:11.167',-1.520
'0:11.169',-1.475
'0:11.172',-1.450
'0:11.175',-1.405
'0:11.178',-1.375
'0:11.181',-1.355
'0:11.183',-1.320
'0:11.186',-1.275
'0:11.189',-1.210
'0:11.192',-1.145
'0:11.194',-1.060
'0:11.197',-0.985
'0:11.200',-0.925
'0:11.203',-0.865
'0:11.206',-0.815
'0:11.208',-0.745
'0:11.211',-0.665
'0:11.214',-0.570
'0:11.217',-0.495
'0:11.219',-0.450
'0:11.222',-0.405
'0:11.225',-0.340
'0:11.228',-0.275
'0:11.231',-0.235
'0:11.233',-0.205
'0:11.236',-0.205
'0:11.239',-0.195
'0:11.242',-0.160
'0:11.244',-0.130
'0:11.247',-0.110
'0:11.250',-0.105
'0:11.253',-0.090
'0:11.256',-0.085
'0:11.258',-0.050
'0:11.261',-0.020
'0:11.264',0.020
'0:11.267',0.050
'0:11.269',0.085
'0:11.272',0.080
'0:11.275',0.115
'0:11.278',0.130
'0:11.281',0.170
'0:11.283',0.210
'0:11.286',0.240
'0:11.289',0.250
'0:11.292',0.270
'0:11.294',0.295
'0:11.297',0.330
'0:11.300',0.365
'0:11.303',0.390
'0:11.306',0.430
'0:11.308',0.465
'0:11.311',0.505
'0:11.314',0.530
'0:11.317',0.570
'0:11.319',0.595
'0:11.322',0.625
'0:11.325',0.660
'0:11.328',0.685
'0:11.331',0.675
'0:11.333',0.695
'0:11.336',0.695
'0:11.339',0.715
'0:11.342',0.745
'0:11.344',0.765
'0:11.347',0.755
'0:11.350',0.735
'0:11.353',0.715
'0:11.356',0.675
'0:11.358',0.650
'0:11.361',0.650
'0:11.364',0.625
'0:11.367',0.595
'0:11.369',0.580
'0:11.372',0.540
'0:11.375',0.510
'0:11.378',0.495
'0:11.381',0.470
'0:11.383',0.430
'0:11.386',0.375
'0:11.389',0.330
'0:11.392',0.300
'0:11.394',0.260
'0:11.397',0.245
'0:11.400',0.170
'0:11.403',0.110
'0:11.406',0.045
'0:11.408',0.000
'0:11.411',-0.050
'0:11.414',-0.080
'0:11.417',-0.125
'0:11.419',-0.160
'0:11.422',-0.215
'0:11.425',-0.260
'0:11.428',-0.300
'0:11.431',-0.350
'0:11.433',-0.375
'0:11.436',-0.425
'0:11.439',-0.480
'0:11.442',-0.510
'0:11.444',-0.520
'0:11.447',-0.525
'0:11.450',-0.555
'0:11.453',-0.570
'0:11.456',-0.605
'0:11.458',-0.615
'0:11.461',-0.635
'0:11.464',-0.655
'0:11.467',-0.655
'0:11.469',-0.670
'0:11.472',-0.685
'0:11.475',-0.680
'0:11.478',-0.695
'0:11.481',-0.725
'0:11.483',-0.720
'0:11.486',-0.715
'0:11.489',-0.710
'0:11.492',-0.700
'0:11.494',-0.680
'0:11.497',-0.650
'0:11.500',-0.635
'0:11.503',-0.630
'0:11.506',-0.610
'0:11.508',-0.565
'0:11.511',-0.520
'0:11.514',-0.480
'0:11.517',-0.440
'0:11.519',-0.430
'0:11.522',-0.420
'0:11.525',-0.405
'0:11.528',-0.390
'0:11.531',-0.370
'0:11.533',-0.355
'0:11.536',-0.355
'0:11.539',-0.370
'0:11.542',-0.390
'0:11.544',-0.415
'0:11.547',-0.445
'0:11.550',-0.470
'0:11.553',-0.480
'0:11.556',-0.500
'0:11.558',-0.490
'0:11.561',-0.475
'0:11.564',-0.470
'0:11.567',-0.485
'0:11.569',-0.490
'0:11.572',-0.515
'0:11.575',-0.520
'0:11.578',-0.530
'0:11.581',-0.540
'0:11.583',-0.560
'0:11.586',-0.590
'0:11.589',-0.610
'0:11.592',-0.635
'0:11.594',-0.650
'0:11.597',-0.675
'0:11.600',-0.700
'0:11.603',-0.725
'0:11.606',-0.750
'0:11.608',-0.770
'0:11.611',-0.780
'0:11.614',-0.785
'0:11.617',-0.805
'0:11.619',-0.815
'0:11.622',-0.830
'0:11.625',-0.830
'0:11.628',-0.830
'0:11.631',-0.840
'0:11.633',-0.865
'0:11.636',-0.875
'0:11.639',-0.880
'0:11.642',-0.890
'0:11.644',-0.875
'0:11.647',-0.845
'0:11.650',-0.860
'0:11.653',-0.870
'0:11.656',-0.875
'0:11.658',-0.890
'0:11.661',-0.870
'0:11.664',-0.875
'0:11.667',-0.880
'0:11.669',-0.890
'0:11.672',-0.895
'0:11.675',-0.890
'0:11.678',-0.890
'0:11.681',-0.890
'0:11.683',-0.900
'0:11.686',-0.910
'0:11.689',-0.915
'0:11.692',-0.910
'0:11.694',-0.895
'0:11.697',-0.875
'0:11.700',-0.885
'0:11.703',-0.900
'0:11.706',-0.900
'0:11.708',-0.900
'0:11.711',-0.910
'0:11.714',-0.910
'0:11.717',-0.910
'0:11.719',-0.910
'0:11.722',-0.915
'0:11.725',-0.905
'0:11.728',-0.890
'0:11.731',-0.895
'0:11.733',-0.890
'0:11.736',-0.900
'0:11.739',-0.910
'0:11.742',-0.900
'0:11.744',-0.880
'0:11.747',-0.885
'0:11.750',-0.870
'0:11.753',-0.880
'0:11.756',-0.880
'0:11.758',-0.865
'0:11.761',-0.855
'0:11.764',-0.845
'0:11.767',-0.870
'0:11.769',-0.885
'0:11.772',-0.890
'0:11.775',-0.870
'0:11.778',-0.870
'0:11.781',-0.855
'0:11.783',-0.860
'0:11.786',-0.860
'0:11.789',-0.860
'0:11.792',-0.845
'0:11.794',-0.835
'0:11.797',-0.825
'0:11.800',-0.800
'0:11.803',-0.795
'0:11.806',-0.815
'0:11.808',-0.800
'0:11.811',-0.785
'0:11.814',-0.770
'0:11.817',-0.770
'0:11.819',-0.755
'0:11.822',-0.735
'0:11.825',-0.705
'0:11.828',-0.630
'0:11.831',-0.520
'0:11.833',-0.265
'0:11.836',0.260
'0:11.839',0.895
'0:11.842',1.460
'0:11.844',1.530
'0:11.847',1.315
'0:11.850',1.095
'0:11.853',1.005
'0:11.856',0.950
'0:11.858',0.855
'0:11.861',0.770
'0:11.864',0.655
'0:11.867',0.555
'0:11.869',0.435
'0:11.872',0.330
'0:11.875',0.215
'0:11.878',0.095
'0:11.881',-0.025
'0:11.883',-0.180
'0:11.886',-0.345
'0:11.889',-0.525
'0:11.892',-0.700
'0:11.894',-0.880
'0:11.897',-1.080
'0:11.900',-1.290
'0:11.903',-1.505
'0:11.906',-1.685
'0:11.908',-1.840
'0:11.911',-2.005
'0:11.914',-2.155
'0:11.917',-2.270
'0:11.919',-2.350
'0:11.922',-2.405
'0:11.925',-2.425
'0:11.928',-2.440
'0:11.931',-2.475
'0:11.933',-2.530
'0:11.936',-2.610
'0:11.939',-2.695
'0:11.942',-2.755
'0:11.944',-2.785
'0:11.947',-2.800
'0:11.950',-2.820
'0:11.953',-2.785
'0:11.956',-2.725
'0:11.958',-2.575
'0:11.961',-2.420
'0:11.964',-2.235
'0:11.967',-2.015
'0:11.969',-1.795
'0:11.972',-1.675
'0:11.975',-1.585
'0:11.978',-1.530
'0:11.981',-1.450
'0:11.983',-1.390
'0:11.986',-1.335
'0:11.989',-1.290
'0:11.992',-1.225
'0:11.994',-1.180
'0:11.997',-1.160
'0:12.000',-1.125
'0:12.003',-1.080
'0:12.006',-1.035
'0:12.008',-0.950
'0:12.011',-0.875
'0:12.014',-0.810
'0:12.017',-0.755
'0:12.019',-0.695
'0:12.022',-0.625
'0:12.025',-0.560
'0:12.028',-0.480
'0:12.031',-0.385
'0:12.033',-0.300
'0:12.036',-0.220
'0:12.039',-0.170
'0:12.042',-0.100
'0:12.044',-0.055
'0:12.047',-0.030
'0:12.050',-0.005
'0:12.053',0.005
'0:12.056',0.020
'0:12.058',0.055
'0:12.061',0.075
'0:12.064',0.100
'0:12.067',0.115
'0:12.069',0.130
'0:12.072',0.160
'0:12.075',0.175
'0:12.078',0.215
'0:12.081',0.250
'0:12.083',0.285
'0:12.086',0.300
'0:12.089',0.330
'0:12.092',0.365
'0:12.094',0.395
'0:12.097',0.425
'0:12.100',0.455
'0:12.103',0.485
'0:12.106',0.505
'0:12.108',0.545
'0:12.111',0.575
'0:12.114',0.615
'0:12.117',0.655
'0:12.119',0.690
'0:12.122',0.720
'0:12.125',0.740
'0:12.128',0.780
'0:12.131',0.810
'0:12.133',0.840
'0:12.136',0.870
'0:12.139',0.880
'0:12.142',0.900
'0:12.144',0.925
'0:12.147',0.955
'0:12.150',0.960
'0:12.153',0.965
'0:12.156',0.965
'0:12.158',0.985
'0:12.161',1.005
'0:12.164',1.010
'0:12.167',1.000
'0:12.169',0.990
'0:12.172',0.980
'0:12.175',0.980
'0:12.178',0.985
'0:12.181',0.975
'0:12.183',0.955
'0:12.186',0.940
'0:12.189',0.940
'0:12.192',0.955
'0:12.194',0.970
'0:12.197',0.980
'0:12.200',0.965
'0:12.203',0.940
'0:12.206',0.895
'0:12.208',0.880
'0:12.211',0.860
'0:12.214',0.855
'0:12.217',0.790
'0:12.219',0.735
'0:12.222',0.650
'0:12.225',0.570
'0:12.228',0.510
'0:12.231',0.465
'0:12.233',0.400
'0:12.236',0.335
'0:12.239',0.275
'0:12.242',0.245
'0:12.244',0.215
'0:12.247',0.165
'0:12.250',0.105
'0:12.253',0.045
'0:12.256',-0.010
'0:12.258',-0.055
'0:12.261',-0.100
'0:12.264',-0.145
'0:12.267',-0.185
'0:12.269',-0.235
'0:12.272',-0.295
'0:12.275',-0.320
'0:12.278',-0.355
'0:12.281',-0.375
'0:12.283',-0.420
'0:12.286',-0.460
'0:12.289',-0.490
'0:12.292',-0.515
'0:12.294',-0.535
'0:12.297',-0.565
'0:12.300',-0.580
'0:12.303',-0.625
'0:12.306',-0.665
'0:12.308',-0.680
'0:12.311',-0.685
'0:12.314',-0.660
'0:12.317',-0.625
'0:12.319',-0.620
'0:12.322',-0.615
'0:12.325',-0.620
'0:12.328',-0.630
'0:12.331',-0.650
'0:12.333',-0.665
'0:12.336',-0.680
'0:12.339',-0.685
'0:12.342',-0.665
'0:12.344',-0.655
'0:12.347',-0.640
'0:12.350',-0.660
'0:12.353',-0.670
'0:12.356',-0.675
'0:12.358',-0.680
'0:12.361',-0.680
'0:12.364',-0.670
'0:12.367',-0.665
'0:12.369',-0.675
'0:12.372',-0.680
'0:12.375',-0.660
'0:12.378',-0.645
'0:12.381',-0.635
'0:12.383',-0.635
'0:12.386',-0.645
'0:12.389',-0.655
'0:12.392',-0.660
'0:12.394',-0.650
'0:12.397',-0.655
'0:12.400',-0.670
'0:12.403',-0.680
'0:12.406',-0.670
'0:12.408',-0.650
'0:12.411',-0.640
'0:12.414',-0.630
'0:12.417',-0.640
'0:12.419',-0.645
'0:12.422',-0.655
'0:12.425',-0.665
'0:12.428',-0.665
'0:12.431',-0.640
'0:12.433',-0.635
'0:12.436',-0.645
'0:12.439',-0.640
'0:12.442',-0.645
'0:12.444',-0.645
'0:12.447',-0.640
'0:12.450',-0.630
'0:12.453',-0.630
'0:12.456',-0.635
'0:12.458',-0.635
'0:12.461',-0.625
'0:12.464',-0.625
'0:12.467',-0.640
'0:12.469',-0.645
'0:12.472',-0.650
'0:12.475',-0.635
'0:12.478',-0.620
'0:12.481',-0.625
'0:12.483',-0.625
'0:12.486',-0.630
'0:12.489',-0.640
'0:12.492',-0.625
'0:12.494',-0.620
'0:12.497',-0.630
'0:12.500',-0.615
'0:12.503',-0.605
'0:12.506',-0.600
'0:12.508',-0.600
'0:12.511',-0.570
'0:12.514',-0.565
'0:12.517',-0.565
'0:12.519',-0.580
'0:12.522',-0.595
'0:12.525',-0.590
'0:12.528',-0.580
'0:12.531',-0.580
'0:12.533',-0.580
'0:12.536',-0.605
'0:12.539',-0.605
'0:12.542',-0.565
'0:12.544',-0.550
'0:12.547',-0.545
'0:12.550',-0.540
'0:12.553',-0.555
'0:12.556',-0.565
'0:12.558',-0.550
'0:12.561',-0.530
'0:12.564',-0.520
'0:12.567',-0.535
'0:12.569',-0.545
'0:12.572',-0.545
'0:12.575',-0.530
'0:12.578',-0.540
'0:12.581',-0.550
'0:12.583',-0.520
'0:12.586',-0.495
'0:12.589',-0.485
'0:12.592',-0.485
'0:12.594',-0.490
'0:12.597',-0.495
'0:12.600',-0.500
'0:12.603',-0.495
'0:12.606',-0.505
'0:12.608',-0.480
'0:12.611',-0.480
'0:12.614',-0.485
'0:12.617',-0.480
'0:12.619',-0.470
'0:12.622',-0.460
'0:12.625',-0.435
'0:12.628',-0.420
'0:12.631',-0.410
'0:12.633',-0.360
'0:12.636',-0.335
'0:12.639',-0.290
'0:12.642',-0.180
'0:12.644',0.100
'0:12.647',0.635
'0:12.650',1.270
'0:12.653',1.770
'0:12.656',1.810
'0:12.658',1.620
'0:12.661',1.490
'0:12.664',1.425
'0:12.667',1.365
'0:12.669',1.285
'0:12.672',1.140
'0:12.675',1.030
'0:12.678',0.940
'0:12.681',0.850
'0:12.683',0.755
'0:12.686',0.640
'0:12.689',0.495
'0:12.692',0.350
'0:12.694',0.190
'0:12.697',-0.015
'0:12.700',-0.245
'0:12.703',-0.465
'0:12.706',-0.675
'0:12.708',-0.875
'0:12.711',-1.080
'0:12.714',-1.300
'0:12.717',-1.520
'0:12.719',-1.695
'0:12.722',-1.840
'0:12.725',-1.950
'0:12.728',-2.015
'0:12.731',-2.080
'0:12.733',-2.140
'0:12.736',-2.200
'0:12.739',-2.225
'0:12.742',-2.225
'0:12.744',-2.255
'0:12.747',-2.340
'0:12.750',-2.440
'0:12.753',-2.525
'0:12.756',-2.585
'0:12.758',-2.635
'0:12.761',-2.680
'0:12.764',-2.710
'0:12.767',-2.690
'0:12.769',-2.605
'0:12.772',-2.435
'0:12.775',-2.180
'0:12.778',-1.955
'0:12.781',-1.735
'0:12.783',-1.580
'0:12.786',-1.460
'0:12.789',-1.375
'0:12.792',-1.300
'0:12.794',-1.260
'0:12.797',-1.225
'0:12.800',-1.170
'0:12.803',-1.095
'0:12.806',-1.040
'0:12.808',-1.015
'0:12.811',-1.020
'0:12.814',-0.990
'0:12.817',-0.920
'0:12.819',-0.850
'0:12.822',-0.765
'0:12.825',-0.680
'0:12.828',-0.620
'0:12.831',-0.570
'0:12.833',-0.530
'0:12.836',-0.480
'0:12.839',-0.410
'0:12.842',-0.325
'0:12.844',-0.200
'0:12.847',-0.090
'0:12.850',-0.025
'0:12.853',0.005
'0:12.856',0.030
'0:12.858',0.070
'0:12.861',0.140
'0:12.864',0.185
'0:12.867',0.235
'0:12.869',0.260
'0:12.872',0.285
'0:12.875',0.335
'0:12.878',0.380
'0:12.881',0.405
'0:12.883',0.415
'0:12.886',0.455
'0:12.889',0.515
'0:12.892',0.610
'0:12.894',0.655
'0:12.897',0.675
'0:12.900',0.695
'0:12.903',0.740
'0:12.906',0.790
'0:12.908',0.845
'0:12.911',0.880
'0:12.914',0.885
'0:12.917',0.900
'0:12.919',0.925
'0:12.922',0.980
'0:12.925',1.015
'0:12.928',1.045
'0:12.931',1.040
'0:12.933',1.020
'0:12.936',1.035
'0:12.939',1.045
'0:12.942',1.095
'0:12.944',1.140
'0:12.947',1.175
'0:12.950',1.190
'0:12.953',1.215
'0:12.956',1.250
'0:12.958',1.270
'0:12.961',1.255
'0:12.964',1.250
'0:12.967',1.230
'0:12.969',1.240
'0:12.972',1.235
'0:12.975',1.215
'0:12.978',1.185
'0:12.981',1.155
'0:12.983',1.155
'0:12.986',1.140
'0:12.989',1.130
'0:12.992',1.135
'0:12.994',1.145
'0:12.997',1.115
'0:13.000',1.080
'0:13.003',1.055
'0:13.006',1.020
'0:13.008',0.990
'0:13.011',0.930
'0:13.014',0.865
'0:13.017',0.820
'0:13.019',0.815
'0:13.022',0.815
'0:13.025',0.790
'0:13.028',0.710
'0:13.031',0.610
'0:13.033',0.535
'0:13.036',0.525
'0:13.039',0.510
'0:13.042',0.500
'0:13.044',0.455
'0:13.047',0.385
'0:13.050',0.360
'0:13.053',0.330
'0:13.056',0.250
'0:13.058',0.130
'0:13.061',0.060
'0:13.064',0.035
'0:13.067',0.065
'0:13.069',0.070
'0:13.072',0.020
'0:13.075',-0.030
'0:13.078',-0.085
'0:13.081',-0.120
'0:13.083',-0.145
'0:13.086',-0.210
'0:13.089',-0.285
'0:13.092',-0.300
'0:13.094',-0.260
'0:13.097',-0.220
'0:13.100',-0.210
'0:13.103',-0.270
'0:13.106',-0.330
'0:13.108',-0.345
'0:13.111',-0.365
'0:13.114',-0.390
'0:13.117',-0.420
'0:13.119',-0.410
'0:13.122',-0.390
'0:13.125',-0.345
'0:13.128',-0.375
'0:13.131',-0.400
'0:13.133',-0.445
'0:13.136',-0.470
'0:13.139',-0.490
'0:13.142',-0.460
'0:13.144',-0.460
'0:13.147',-0.455
'0:13.150',-0.455
'0:13.153',-0.455
'0:13.156',-0.465
'0:13.158',-0.465
'0:13.161',-0.470
'0:13.164',-0.495
'0:13.167',-0.490
'0:13.169',-0.440
'0:13.172',-0.425
'0:13.175',-0.420
'0:13.178',-0.470
'0:13.181',-0.510
'0:13.183',-0.490
'0:13.186',-0.455
'0:13.189',-0.415
'0:13.192',-0.385
'0:13.194',-0.390
'0:13.197',-0.410
'0:13.200',-0.445
'0:13.203',-0.455
'0:13.206',-0.445
'0:13.208',-0.405
'0:13.211',-0.400
'0:13.214',-0.425
'0:13.217',-0.445
'0:13.219',-0.465
'0:13.222',-0.440
'0:13.225',-0.425
'0:13.228',-0.400
'0:13.231',-0.395
'0:13.233',-0.395
'0:13.236',-0.395
'0:13.239',-0.390
'0:13.242',-0.365
'0:13.244',-0.345
'0:13.247',-0.320
'0:13.250',-0.345
'0:13.253',-0.375
'0:13.256',-0.410
'0:13.258',-0.370
'0:13.261',-0.340
'0:13.264',-0.320
'0:13.267',-0.345
'0:13.269',-0.360
'0:13.272',-0.355
'0:13.275',-0.365
'0:13.278',-0.365
'0:13.281',-0.390
'0:13.283',-0.410
'0:13.286',-0.405
'0:13.289',-0.420
'0:13.292',-0.410
'0:13.294',-0.395
'0:13.297',-0.380
'0:13.300',-0.385
'0:13.303',-0.370
'0:13.306',-0.340
'0:13.308',-0.315
