'Elapsed time','D3'
'0:01.116',7.710
'0:01.120',7.690
'0:01.124',7.745
'0:01.128',7.715
'0:01.132',7.725
'0:01.136',7.665
'0:01.140',7.625
'0:01.144',7.640
'0:01.148',7.640
'0:01.152',7.650
'0:01.156',7.725
'0:01.160',7.690
'0:01.164',7.590
'0:01.168',7.600
'0:01.172',7.665
'0:01.176',7.685
'0:01.180',7.630
'0:01.184',7.615
'0:01.188',7.700
'0:01.192',7.685
'0:01.196',7.655
'0:01.200',7.615
'0:01.204',7.685
'0:01.208',7.710
'0:01.212',7.735
'0:01.216',7.725
'0:01.220',7.710
'0:01.224',7.690
'0:01.228',7.700
'0:01.232',7.745
'0:01.236',7.685
'0:01.240',7.675
'0:01.244',7.640
'0:01.248',7.580
'0:01.252',7.540
'0:01.256',7.580
'0:01.260',7.590
'0:01.264',7.565
'0:01.268',7.640
'0:01.272',7.655
'0:01.276',7.630
'0:01.280',7.590
'0:01.284',7.565
'0:01.288',7.590
'0:01.292',7.600
'0:01.296',7.655
'0:01.300',7.650
'0:01.304',7.625
'0:01.308',7.600
'0:01.312',7.630
'0:01.316',7.685
'0:01.320',7.710
'0:01.324',7.685
'0:01.328',7.700
'0:01.332',7.725
'0:01.336',7.675
'0:01.340',7.665
'0:01.344',7.665
'0:01.348',7.655
'0:01.352',7.640
'0:01.356',7.675
'0:01.360',7.750
'0:01.364',7.710
'0:01.368',7.725
'0:01.372',7.715
'0:01.376',7.710
'0:01.380',7.625
'0:01.384',7.410
'0:01.388',7.085
'0:01.392',6.855
'0:01.396',6.725
'0:01.400',6.530
'0:01.404',6.280
'0:01.408',6.390
'0:01.412',6.880
'0:01.416',7.485
'0:01.420',7.930
'0:01.424',8.070
'0:01.428',7.940
'0:01.432',7.775
'0:01.436',7.665
'0:01.440',7.565
'0:01.444',7.540
'0:01.448',7.530
'0:01.452',7.540
'0:01.456',7.555
'0:01.460',7.600
'0:01.464',7.625
'0:01.468',7.665
'0:01.472',7.605
'0:01.476',7.530
'0:01.480',7.520
'0:01.484',7.555
'0:01.488',7.570
'0:01.492',7.570
'0:01.496',7.545
'0:01.500',7.540
'0:01.504',7.530
'0:01.508',7.505
'0:01.512',7.545
'0:01.516',7.540
'0:01.520',7.530
'0:01.524',7.545
'0:01.528',7.605
'0:01.532',7.580
'0:01.536',7.505
'0:01.540',7.450
'0:01.544',7.470
'0:01.548',7.470
'0:01.552',7.480
'0:01.556',7.470
'0:01.560',7.445
'0:01.564',7.410
'0:01.568',7.480
'0:01.572',7.520
'0:01.576',7.485
'0:01.580',7.365
'0:01.584',7.340
'0:01.588',7.385
'0:01.592',7.385
'0:01.596',7.340
'0:01.600',7.365
'0:01.604',7.365
'0:01.608',7.325
'0:01.612',7.300
'0:01.616',7.255
'0:01.620',7.195
'0:01.624',7.185
'0:01.628',7.220
'0:01.632',7.255
'0:01.636',7.215
'0:01.640',7.095
'0:01.644',6.975
'0:01.648',6.955
'0:01.652',6.975
'0:01.656',6.975
'0:01.660',6.890
'0:01.664',6.810
'0:01.668',6.745
'0:01.672',6.715
'0:01.676',6.760
'0:01.680',6.750
'0:01.684',6.690
'0:01.688',6.675
'0:01.692',6.665
'0:01.696',6.685
'0:01.700',6.685
'0:01.704',6.685
'0:01.708',6.745
'0:01.712',6.810
'0:01.716',6.890
'0:01.720',6.980
'0:01.724',7.050
'0:01.728',7.100
'0:01.732',7.160
'0:01.736',7.215
'0:01.740',7.290
'0:01.744',7.340
'0:01.748',7.360
'0:01.752',7.435
'0:01.756',7.460
'0:01.760',7.495
'0:01.764',7.460
'0:01.768',7.480
'0:01.772',7.470
'0:01.776',7.485
'0:01.780',7.530
'0:01.784',7.530
'0:01.788',7.540
'0:01.792',7.545
'0:01.796',7.545
'0:01.800',7.530
'0:01.804',7.510
'0:01.808',7.480
'0:01.812',7.530
'0:01.816',7.580
'0:01.820',7.545
'0:01.824',7.540
'0:01.828',7.555
'0:01.832',7.590
'0:01.836',7.555
'0:01.840',7.540
'0:01.844',7.545
'0:01.848',7.570
'0:01.852',7.545
'0:01.856',7.565
'0:01.860',7.570
'0:01.864',7.555
'0:01.868',7.545
'0:01.872',7.530
'0:01.876',7.570
'0:01.880',7.600
'0:01.884',7.590
'0:01.888',7.555
'0:01.892',7.555
'0:01.896',7.630
'0:01.900',7.625
'0:01.904',7.615
'0:01.908',7.600
'0:01.912',7.570
'0:01.916',7.565
'0:01.920',7.570
'0:01.924',7.615
'0:01.928',7.640
'0:01.932',7.630
'0:01.936',7.570
'0:01.940',7.600
'0:01.944',7.590
'0:01.948',7.605
'0:01.952',7.590
'0:01.956',7.615
'0:01.960',7.655
'0:01.964',7.650
'0:01.968',7.630
'0:01.972',7.615
'0:01.976',7.615
'0:01.980',7.630
'0:01.984',7.615
'0:01.988',7.570
'0:01.992',7.565
'0:01.996',7.600
'0:02.000',7.605
'0:02.004',7.655
'0:02.008',7.665
'0:02.012',7.650
'0:02.016',7.630
'0:02.020',7.615
'0:02.024',7.640
'0:02.028',7.650
'0:02.032',7.700
'0:02.036',7.710
'0:02.040',7.675
'0:02.044',7.605
'0:02.048',7.565
'0:02.052',7.600
'0:02.056',7.605
'0:02.060',7.640
'0:02.064',7.685
'0:02.068',7.710
'0:02.072',7.685
'0:02.076',7.715
'0:02.080',7.700
'0:02.084',7.685
'0:02.088',7.700
'0:02.092',7.700
'0:02.096',7.700
'0:02.100',7.650
'0:02.104',7.605
'0:02.108',7.590
'0:02.112',7.640
'0:02.116',7.640
'0:02.120',7.640
'0:02.124',7.640
'0:02.128',7.640
'0:02.132',7.655
'0:02.136',7.675
'0:02.140',7.665
'0:02.144',7.650
'0:02.148',7.630
'0:02.152',7.600
'0:02.156',7.630
'0:02.160',7.630
'0:02.164',7.625
'0:02.168',7.605
'0:02.172',7.570
'0:02.176',7.655
'0:02.180',7.665
'0:02.184',7.665
'0:02.188',7.615
'0:02.192',7.600
'0:02.196',7.625
'0:02.200',7.640
'0:02.204',7.605
'0:02.208',7.580
'0:02.212',7.590
'0:02.216',7.625
'0:02.220',7.615
'0:02.224',7.685
'0:02.228',7.700
'0:02.232',7.625
'0:02.236',7.520
'0:02.240',7.565
'0:02.244',7.630
'0:02.248',7.640
'0:02.252',7.625
'0:02.256',7.605
'0:02.260',7.600
'0:02.264',7.605
'0:02.268',7.625
'0:02.272',7.615
'0:02.276',7.605
'0:02.280',7.570
'0:02.284',7.570
'0:02.288',7.600
'0:02.292',7.630
'0:02.296',7.640
'0:02.300',7.605
'0:02.304',7.565
'0:02.308',7.565
'0:02.312',7.605
'0:02.316',7.630
'0:02.320',7.625
'0:02.324',7.565
'0:02.328',7.605
'0:02.332',7.580
'0:02.336',7.545
'0:02.340',7.530
'0:02.344',7.540
'0:02.348',7.600
'0:02.352',7.630
'0:02.356',7.615
'0:02.360',7.570
'0:02.364',7.530
'0:02.368',7.520
'0:02.372',7.495
'0:02.376',7.530
'0:02.380',7.555
'0:02.384',7.530
'0:02.388',7.505
'0:02.392',7.485
'0:02.396',7.520
'0:02.400',7.570
'0:02.404',7.605
'0:02.408',7.605
'0:02.412',7.615
'0:02.416',7.580
'0:02.420',7.570
'0:02.424',7.570
'0:02.428',7.565
'0:02.432',7.590
'0:02.436',7.605
'0:02.440',7.605
'0:02.444',7.565
'0:02.448',7.540
'0:02.452',7.530
'0:02.456',7.565
'0:02.460',7.565
'0:02.464',7.545
'0:02.468',7.565
'0:02.472',7.545
'0:02.476',7.340
'0:02.480',7.060
'0:02.484',6.820
'0:02.488',6.675
'0:02.492',6.470
'0:02.496',6.275
'0:02.500',6.315
'0:02.504',6.710
'0:02.508',7.230
'0:02.512',7.650
'0:02.516',7.905
'0:02.520',7.845
'0:02.524',7.700
'0:02.528',7.570
'0:02.532',7.545
'0:02.536',7.545
'0:02.540',7.460
'0:02.544',7.325
'0:02.548',7.365
'0:02.552',7.485
'0:02.556',7.495
'0:02.560',7.480
'0:02.564',7.445
'0:02.568',7.450
'0:02.572',7.505
'0:02.576',7.485
'0:02.580',7.425
'0:02.584',7.460
'0:02.588',7.460
'0:02.592',7.460
'0:02.596',7.470
'0:02.600',7.470
'0:02.604',7.460
'0:02.608',7.410
'0:02.612',7.365
'0:02.616',7.385
'0:02.620',7.435
'0:02.624',7.460
'0:02.628',7.460
'0:02.632',7.375
'0:02.636',7.335
'0:02.640',7.350
'0:02.644',7.335
'0:02.648',7.300
'0:02.652',7.360
'0:02.656',7.365
'0:02.660',7.365
'0:02.664',7.360
'0:02.668',7.340
'0:02.672',7.340
'0:02.676',7.365
'0:02.680',7.340
'0:02.684',7.280
'0:02.688',7.220
'0:02.692',7.255
'0:02.696',7.255
'0:02.700',7.240
'0:02.704',7.265
'0:02.708',7.265
'0:02.712',7.160
'0:02.716',7.070
'0:02.720',7.075
'0:02.724',7.095
'0:02.728',7.070
'0:02.732',7.035
'0:02.736',6.980
'0:02.740',6.915
'0:02.744',6.915
'0:02.748',6.920
'0:02.752',6.845
'0:02.756',6.750
'0:02.760',6.750
'0:02.764',6.760
'0:02.768',6.745
'0:02.772',6.715
'0:02.776',6.685
'0:02.780',6.655
'0:02.784',6.640
'0:02.788',6.665
'0:02.792',6.715
'0:02.796',6.725
'0:02.800',6.750
'0:02.804',6.795
'0:02.808',6.930
'0:02.812',7.025
'0:02.816',7.135
'0:02.820',7.145
'0:02.824',7.130
'0:02.828',7.155
'0:02.832',7.255
'0:02.836',7.290
'0:02.840',7.265
'0:02.844',7.305
'0:02.848',7.365
'0:02.852',7.400
'0:02.856',7.400
'0:02.860',7.410
'0:02.864',7.445
'0:02.868',7.480
'0:02.872',7.470
'0:02.876',7.460
'0:02.880',7.445
'0:02.884',7.470
'0:02.888',7.445
'0:02.892',7.470
'0:02.896',7.485
'0:02.900',7.485
'0:02.904',7.485
'0:02.908',7.480
'0:02.912',7.480
'0:02.916',7.470
'0:02.920',7.480
'0:02.924',7.445
'0:02.928',7.445
'0:02.932',7.485
'0:02.936',7.505
'0:02.940',7.510
'0:02.944',7.505
'0:02.948',7.530
'0:02.952',7.540
'0:02.956',7.485
'0:02.960',7.450
'0:02.964',7.480
'0:02.968',7.485
'0:02.972',7.485
'0:02.976',7.505
'0:02.980',7.505
'0:02.984',7.505
'0:02.988',7.460
'0:02.992',7.530
'0:02.996',7.530
'0:03.000',7.540
'0:03.004',7.480
'0:03.008',7.460
'0:03.012',7.485
'0:03.016',7.520
'0:03.020',7.530
'0:03.024',7.510
'0:03.028',7.540
'0:03.032',7.555
'0:03.036',7.580
'0:03.040',7.545
'0:03.044',7.520
'0:03.048',7.505
'0:03.052',7.485
'0:03.056',7.510
'0:03.060',7.505
'0:03.064',7.570
'0:03.068',7.570
'0:03.072',7.510
'0:03.076',7.495
'0:03.080',7.530
'0:03.084',7.555
'0:03.088',7.580
'0:03.092',7.570
'0:03.096',7.520
'0:03.100',7.510
'0:03.104',7.600
'0:03.108',7.630
'0:03.112',7.590
'0:03.116',7.450
'0:03.120',7.435
'0:03.124',7.545
'0:03.128',7.580
'0:03.132',7.555
'0:03.136',7.540
'0:03.140',7.580
'0:03.144',7.625
'0:03.148',7.625
'0:03.152',7.565
'0:03.156',7.505
'0:03.160',7.510
'0:03.164',7.540
'0:03.168',7.600
'0:03.172',7.565
'0:03.176',7.540
'0:03.180',7.600
'0:03.184',7.640
'0:03.188',7.600
'0:03.192',7.510
'0:03.196',7.520
'0:03.200',7.530
'0:03.204',7.570
'0:03.208',7.565
'0:03.212',7.580
'0:03.216',7.540
'0:03.220',7.540
'0:03.224',7.570
'0:03.228',7.640
'0:03.232',7.600
'0:03.236',7.580
'0:03.240',7.580
'0:03.244',7.565
'0:03.248',7.565
'0:03.252',7.520
'0:03.256',7.505
'0:03.260',7.570
'0:03.264',7.580
'0:03.268',7.590
'0:03.272',7.600
'0:03.276',7.590
'0:03.280',7.600
'0:03.284',7.605
'0:03.288',7.605
'0:03.292',7.630
'0:03.296',7.580
'0:03.300',7.545
'0:03.304',7.505
'0:03.308',7.495
'0:03.312',7.565
'0:03.316',7.570
'0:03.320',7.570
'0:03.324',7.540
'0:03.328',7.555
'0:03.332',7.570
'0:03.336',7.580
'0:03.340',7.565
'0:03.344',7.580
'0:03.348',7.605
'0:03.352',7.605
'0:03.356',7.545
'0:03.360',7.510
'0:03.364',7.540
'0:03.368',7.590
'0:03.372',7.580
'0:03.376',7.580
'0:03.380',7.555
'0:03.384',7.540
'0:03.388',7.545
'0:03.392',7.565
'0:03.396',7.540
'0:03.400',7.540
'0:03.404',7.545
'0:03.408',7.570
'0:03.412',7.570
'0:03.416',7.590
'0:03.420',7.605
'0:03.424',7.570
'0:03.428',7.570
'0:03.432',7.565
'0:03.436',7.540
'0:03.440',7.485
'0:03.444',7.510
'0:03.448',7.540
'0:03.452',7.570
'0:03.456',7.545
'0:03.460',7.450
'0:03.464',7.470
'0:03.468',7.495
'0:03.472',7.540
'0:03.476',7.505
'0:03.480',7.445
'0:03.484',7.470
'0:03.488',7.555
'0:03.492',7.570
'0:03.496',7.580
'0:03.500',7.565
'0:03.504',7.570
'0:03.508',7.540
'0:03.512',7.540
'0:03.516',7.565
'0:03.520',7.555
'0:03.524',7.565
'0:03.528',7.640
'0:03.532',7.630
'0:03.536',7.600
'0:03.540',7.545
'0:03.544',7.540
'0:03.548',7.540
'0:03.552',7.600
'0:03.556',7.630
'0:03.560',7.625
'0:03.564',7.570
'0:03.568',7.495
'0:03.572',7.265
'0:03.576',6.990
'0:03.580',6.805
'0:03.584',6.600
'0:03.588',6.280
'0:03.592',6.085
'0:03.596',6.335
'0:03.600',6.905
'0:03.604',7.435
'0:03.608',7.775
'0:03.612',7.890
'0:03.616',7.805
'0:03.620',7.665
'0:03.624',7.555
'0:03.628',7.510
'0:03.632',7.495
'0:03.636',7.505
'0:03.640',7.485
'0:03.644',7.480
'0:03.648',7.495
'0:03.652',7.480
'0:03.656',7.520
'0:03.660',7.540
'0:03.664',7.540
'0:03.668',7.505
'0:03.672',7.445
'0:03.676',7.425
'0:03.680',7.480
'0:03.684',7.470
'0:03.688',7.505
'0:03.692',7.470
'0:03.696',7.425
'0:03.700',7.445
'0:03.704',7.480
'0:03.708',7.510
'0:03.712',7.480
'0:03.716',7.435
'0:03.720',7.420
'0:03.724',7.425
'0:03.728',7.445
'0:03.732',7.450
'0:03.736',7.420
'0:03.740',7.375
'0:03.744',7.365
'0:03.748',7.425
'0:03.752',7.470
'0:03.756',7.460
'0:03.760',7.375
'0:03.764',7.300
'0:03.768',7.300
'0:03.772',7.360
'0:03.776',7.385
'0:03.780',7.360
'0:03.784',7.290
'0:03.788',7.275
'0:03.792',7.265
'0:03.796',7.290
'0:03.800',7.255
'0:03.804',7.195
'0:03.808',7.185
'0:03.812',7.195
'0:03.816',7.130
'0:03.820',7.100
'0:03.824',7.110
'0:03.828',7.070
'0:03.832',7.060
'0:03.836',7.015
'0:03.840',6.950
'0:03.844',6.895
'0:03.848',6.855
'0:03.852',6.795
'0:03.856',6.795
'0:03.860',6.785
'0:03.864',6.750
'0:03.868',6.745
'0:03.872',6.725
'0:03.876',6.750
'0:03.880',6.735
'0:03.884',6.690
'0:03.888',6.725
'0:03.892',6.795
'0:03.896',6.845
'0:03.900',6.880
'0:03.904',6.940
'0:03.908',7.025
'0:03.912',7.120
'0:03.916',7.220
'0:03.920',7.290
'0:03.924',7.255
'0:03.928',7.240
'0:03.932',7.325
'0:03.936',7.460
'0:03.940',7.435
'0:03.944',7.445
'0:03.948',7.450
'0:03.952',7.410
'0:03.956',7.435
'0:03.960',7.485
'0:03.964',7.505
'0:03.968',7.505
'0:03.972',7.555
'0:03.976',7.540
'0:03.980',7.505
'0:03.984',7.460
'0:03.988',7.505
'0:03.992',7.555
'0:03.996',7.495
'0:04.000',7.485
'0:04.004',7.510
'0:04.008',7.570
'0:04.012',7.580
'0:04.016',7.545
'0:04.020',7.480
'0:04.024',7.505
'0:04.028',7.505
'0:04.032',7.520
'0:04.036',7.570
'0:04.040',7.590
'0:04.044',7.565
'0:04.048',7.530
'0:04.052',7.530
'0:04.056',7.545
'0:04.060',7.540
'0:04.064',7.545
'0:04.068',7.540
'0:04.072',7.545
'0:04.076',7.565
'0:04.080',7.580
'0:04.084',7.545
'0:04.088',7.545
'0:04.092',7.555
'0:04.096',7.540
'0:04.100',7.545
'0:04.104',7.615
'0:04.108',7.625
'0:04.112',7.530
'0:04.116',7.520
'0:04.120',7.545
'0:04.124',7.565
'0:04.128',7.625
'0:04.132',7.600
'0:04.136',7.540
'0:04.140',7.530
'0:04.144',7.570
'0:04.148',7.640
'0:04.152',7.690
'0:04.156',7.625
'0:04.160',7.545
'0:04.164',7.505
'0:04.168',7.530
'0:04.172',7.605
'0:04.176',7.615
'0:04.180',7.615
'0:04.184',7.580
'0:04.188',7.530
'0:04.192',7.565
'0:04.196',7.605
'0:04.200',7.615
'0:04.204',7.605
'0:04.208',7.600
'0:04.212',7.570
'0:04.216',7.605
'0:04.220',7.615
'0:04.224',7.605
'0:04.228',7.600
'0:04.232',7.580
'0:04.236',7.630
'0:04.240',7.665
'0:04.244',7.640
'0:04.248',7.570
'0:04.252',7.570
'0:04.256',7.640
'0:04.260',7.630
'0:04.264',7.600
'0:04.268',7.570
'0:04.272',7.605
'0:04.276',7.640
'0:04.280',7.640
'0:04.284',7.570
'0:04.288',7.565
'0:04.292',7.605
'0:04.296',7.640
'0:04.300',7.615
'0:04.304',7.600
'0:04.308',7.605
'0:04.312',7.625
'0:04.316',7.630
'0:04.320',7.615
'0:04.324',7.640
'0:04.328',7.625
'0:04.332',7.600
'0:04.336',7.605
'0:04.340',7.605
'0:04.344',7.675
'0:04.348',7.640
'0:04.352',7.650
'0:04.356',7.665
'0:04.360',7.630
'0:04.364',7.570
'0:04.368',7.570
'0:04.372',7.605
'0:04.376',7.675
'0:04.380',7.640
'0:04.384',7.590
'0:04.388',7.565
'0:04.392',7.570
'0:04.396',7.570
'0:04.400',7.570
'0:04.404',7.615
'0:04.408',7.640
'0:04.412',7.605
'0:04.416',7.615
'0:04.420',7.600
'0:04.424',7.580
'0:04.428',7.565
'0:04.432',7.600
'0:04.436',7.640
'0:04.440',7.640
'0:04.444',7.615
'0:04.448',7.600
'0:04.452',7.630
'0:04.456',7.615
'0:04.460',7.630
'0:04.464',7.600
'0:04.468',7.570
'0:04.472',7.590
'0:04.476',7.570
'0:04.480',7.590
'0:04.484',7.650
'0:04.488',7.675
'0:04.492',7.600
'0:04.496',7.555
'0:04.500',7.565
'0:04.504',7.605
'0:04.508',7.580
'0:04.512',7.565
'0:04.516',7.615
'0:04.520',7.625
'0:04.524',7.565
'0:04.528',7.485
'0:04.532',7.495
'0:04.536',7.590
'0:04.540',7.565
'0:04.544',7.545
'0:04.548',7.540
'0:04.552',7.520
'0:04.556',7.510
'0:04.560',7.545
'0:04.564',7.565
'0:04.568',7.570
'0:04.572',7.580
'0:04.576',7.650
'0:04.580',7.665
'0:04.584',7.615
'0:04.588',7.565
'0:04.592',7.555
'0:04.596',7.600
'0:04.600',7.625
'0:04.604',7.625
'0:04.608',7.625
'0:04.612',7.605
'0:04.616',7.600
'0:04.620',7.600
'0:04.624',7.600
'0:04.628',7.640
'0:04.632',7.710
'0:04.636',7.690
'0:04.640',7.605
'0:04.644',7.505
'0:04.648',7.305
'0:04.652',7.000
'0:04.656',6.795
'0:04.660',6.650
'0:04.664',6.390
'0:04.668',6.170
'0:04.672',6.420
'0:04.676',7.070
'0:04.680',7.650
'0:04.684',7.940
'0:04.688',7.980
'0:04.692',7.820
'0:04.696',7.690
'0:04.700',7.605
'0:04.704',7.545
'0:04.708',7.540
'0:04.712',7.510
'0:04.716',7.530
'0:04.720',7.540
'0:04.724',7.545
'0:04.728',7.540
'0:04.732',7.540
'0:04.736',7.510
'0:04.740',7.480
'0:04.744',7.505
'0:04.748',7.540
'0:04.752',7.570
'0:04.756',7.520
'0:04.760',7.505
'0:04.764',7.520
'0:04.768',7.495
'0:04.772',7.450
'0:04.776',7.470
'0:04.780',7.495
'0:04.784',7.495
'0:04.788',7.505
'0:04.792',7.505
'0:04.796',7.480
'0:04.800',7.460
'0:04.804',7.480
'0:04.808',7.470
'0:04.812',7.435
'0:04.816',7.495
'0:04.820',7.480
'0:04.824',7.460
'0:04.828',7.420
'0:04.832',7.390
'0:04.836',7.390
'0:04.840',7.420
'0:04.844',7.410
'0:04.848',7.365
'0:04.852',7.360
'0:04.856',7.385
'0:04.860',7.410
'0:04.864',7.375
'0:04.868',7.300
'0:04.872',7.255
'0:04.876',7.265
'0:04.880',7.275
'0:04.884',7.255
'0:04.888',7.195
'0:04.892',7.160
'0:04.896',7.120
'0:04.900',7.130
'0:04.904',7.095
'0:04.908',7.025
'0:04.912',6.980
'0:04.916',6.955
'0:04.920',6.955
'0:04.924',6.940
'0:04.928',6.930
'0:04.932',6.870
'0:04.936',6.770
'0:04.940',6.690
'0:04.944',6.675
'0:04.948',6.725
'0:04.952',6.735
'0:04.956',6.715
'0:04.960',6.690
'0:04.964',6.735
'0:04.968',6.820
'0:04.972',6.880
'0:04.976',6.920
'0:04.980',6.980
'0:04.984',7.025
'0:04.988',7.035
'0:04.992',7.155
'0:04.996',7.265
'0:05.000',7.305
'0:05.004',7.360
'0:05.008',7.325
'0:05.012',7.340
'0:05.016',7.410
'0:05.020',7.480
'0:05.024',7.485
'0:05.028',7.435
'0:05.032',7.435
'0:05.036',7.480
'0:05.040',7.540
'0:05.044',7.505
'0:05.048',7.480
'0:05.052',7.510
'0:05.056',7.505
'0:05.060',7.565
'0:05.064',7.570
'0:05.068',7.545
