'Elapsed time','MLIII'
'0:01.748',4.500
'0:01.752',4.490
'0:01.756',4.465
'0:01.760',4.470
'0:01.764',4.490
'0:01.768',4.500
'0:01.772',4.490
'0:01.776',4.485
'0:01.780',4.500
'0:01.784',4.515
'0:01.788',4.520
'0:01.792',4.530
'0:01.796',4.515
'0:01.800',4.515
'0:01.804',4.550
'0:01.808',4.570
'0:01.812',4.605
'0:01.816',4.660
'0:01.820',4.655
'0:01.824',4.675
'0:01.828',4.670
'0:01.832',4.670
'0:01.836',4.720
'0:01.840',4.720
'0:01.844',4.725
'0:01.848',4.710
'0:01.852',4.720
'0:01.856',4.720
'0:01.860',4.720
'0:01.864',4.720
'0:01.868',4.720
'0:01.872',4.725
'0:01.876',4.705
'0:01.880',4.695
'0:01.884',4.705
'0:01.888',4.725
'0:01.892',4.710
'0:01.896',4.720
'0:01.900',4.725
'0:01.904',4.740
'0:01.908',4.725
'0:01.912',4.705
'0:01.916',4.690
'0:01.920',4.710
'0:01.924',4.730
'0:01.928',4.755
'0:01.932',4.775
'0:01.936',4.775
'0:01.940',4.755
'0:01.944',4.740
'0:01.948',4.730
'0:01.952',4.725
'0:01.956',4.710
'0:01.960',4.725
'0:01.964',4.725
'0:01.968',4.740
'0:01.972',4.740
'0:01.976',4.730
'0:01.980',4.725
'0:01.984',4.725
'0:01.988',4.725
'0:01.992',4.740
'0:01.996',4.745
'0:02.000',4.755
'0:02.004',4.745
'0:02.008',4.720
'0:02.012',4.720
'0:02.016',4.720
'0:02.020',4.740
'0:02.024',4.765
'0:02.028',4.755
'0:02.032',4.740
'0:02.036',4.725
'0:02.040',4.720
'0:02.044',4.710
'0:02.048',4.725
'0:02.052',4.725
'0:02.056',4.730
'0:02.060',4.745
'0:02.064',4.740
'0:02.068',4.720
'0:02.072',4.720
'0:02.076',4.720
'0:02.080',4.725
'0:02.084',4.720
'0:02.088',4.710
'0:02.092',4.710
'0:02.096',4.725
'0:02.100',4.725
'0:02.104',4.720
'0:02.108',4.725
'0:02.112',4.740
'0:02.116',4.740
'0:02.120',4.765
'0:02.124',4.780
'0:02.128',4.810
'0:02.132',4.830
'0:02.136',4.845
'0:02.140',4.875
'0:02.144',4.910
'0:02.148',4.935
'0:02.152',4.950
'0:02.156',4.980
'0:02.160',5.015
'0:02.164',5.050
'0:02.168',5.055
'0:02.172',5.035
'0:02.176',4.980
'0:02.180',4.945
'0:02.184',4.895
'0:02.188',4.850
'0:02.192',4.810
'0:02.196',4.775
'0:02.200',4.725
'0:02.204',4.720
'0:02.208',4.705
'0:02.212',4.705
'0:02.216',4.685
'0:02.220',4.675
'0:02.224',4.670
'0:02.228',4.660
'0:02.232',4.660
'0:02.236',4.640
'0:02.240',4.635
'0:02.244',4.625
'0:02.248',4.610
'0:02.252',4.610
'0:02.256',4.610
'0:02.260',4.620
'0:02.264',4.605
'0:02.268',4.600
'0:02.272',4.605
'0:02.276',4.605
'0:02.280',4.600
'0:02.284',4.635
'0:02.288',4.830
'0:02.292',5.145
'0:02.296',5.515
'0:02.300',5.725
'0:02.304',5.760
'0:02.308',5.635
'0:02.312',5.455
'0:02.316',5.240
'0:02.320',5.035
'0:02.324',4.915
'0:02.328',4.845
'0:02.332',4.780
'0:02.336',4.695
'0:02.340',4.660
'0:02.344',4.585
'0:02.348',4.555
'0:02.352',4.550
'0:02.356',4.550
'0:02.360',4.555
'0:02.364',4.550
'0:02.368',4.555
'0:02.372',4.555
'0:02.376',4.555
'0:02.380',4.570
'0:02.384',4.555
'0:02.388',4.550
'0:02.392',4.550
'0:02.396',4.535
'0:02.400',4.530
'0:02.404',4.530
'0:02.408',4.530
'0:02.412',4.520
'0:02.416',4.530
'0:02.420',4.550
'0:02.424',4.555
'0:02.428',4.555
'0:02.432',4.550
'0:02.436',4.515
'0:02.440',4.500
'0:02.444',4.490
'0:02.448',4.490
'0:02.452',4.500
'0:02.456',4.515
'0:02.460',4.535
'0:02.464',4.550
'0:02.468',4.550
'0:02.472',4.550
'0:02.476',4.540
'0:02.480',4.520
'0:02.484',4.515
'0:02.488',4.505
'0:02.492',4.500
'0:02.496',4.490
'0:02.500',4.470
'0:02.504',4.470
'0:02.508',4.455
'0:02.512',4.470
'0:02.516',4.470
'0:02.520',4.470
'0:02.524',4.490
'0:02.528',4.515
'0:02.532',4.490
'0:02.536',4.470
'0:02.540',4.455
'0:02.544',4.455
'0:02.548',4.490
'0:02.552',4.505
'0:02.556',4.515
'0:02.560',4.515
'0:02.564',4.515
'0:02.568',4.530
'0:02.572',4.540
'0:02.576',4.570
'0:02.580',4.605
'0:02.584',4.620
'0:02.588',4.620
'0:02.592',4.610
'0:02.596',4.605
'0:02.600',4.585
'0:02.604',4.570
'0:02.608',4.585
'0:02.612',4.605
'0:02.616',4.605
'0:02.620',4.585
'0:02.624',4.555
'0:02.628',4.555
'0:02.632',4.555
'0:02.636',4.565
'0:02.640',4.570
'0:02.644',4.585
'0:02.648',4.585
'0:02.652',4.570
'0:02.656',4.570
'0:02.660',4.605
'0:02.664',4.585
'0:02.668',4.575
'0:02.672',4.585
'0:02.676',4.570
'0:02.680',4.570
'0:02.684',4.555
'0:02.688',4.550
'0:02.692',4.555
'0:02.696',4.575
'0:02.700',4.555
'0:02.704',4.535
'0:02.708',4.535
'0:02.712',4.555
'0:02.716',4.570
'0:02.720',4.550
'0:02.724',4.550
'0:02.728',4.550
'0:02.732',4.550
'0:02.736',4.550
'0:02.740',4.535
'0:02.744',4.550
'0:02.748',4.515
'0:02.752',4.500
'0:02.756',4.485
'0:02.760',4.470
'0:02.764',4.485
'0:02.768',4.485
'0:02.772',4.500
'0:02.776',4.485
'0:02.780',4.490
'0:02.784',4.490
'0:02.788',4.485
'0:02.792',4.505
'0:02.796',4.515
'0:02.800',4.515
'0:02.804',4.490
'0:02.808',4.465
'0:02.812',4.445
'0:02.816',4.430
'0:02.820',4.445
'0:02.824',4.455
'0:02.828',4.455
'0:02.832',4.455
'0:02.836',4.445
'0:02.840',4.445
'0:02.844',4.435
'0:02.848',4.445
'0:02.852',4.435
'0:02.856',4.435
'0:02.860',4.435
'0:02.864',4.445
'0:02.868',4.435
'0:02.872',4.435
'0:02.876',4.435
'0:02.880',4.445
'0:02.884',4.490
'0:02.888',4.500
'0:02.892',4.550
'0:02.896',4.590
'0:02.900',4.620
'0:02.904',4.660
'0:02.908',4.670
'0:02.912',4.695
'0:02.916',4.745
'0:02.920',4.780
'0:02.924',4.775
'0:02.928',4.725
'0:02.932',4.685
'0:02.936',4.645
'0:02.940',4.625
'0:02.944',4.585
'0:02.948',4.555
'0:02.952',4.505
'0:02.956',4.455
'0:02.960',4.415
'0:02.964',4.385
'0:02.968',4.375
'0:02.972',4.385
'0:02.976',4.380
'0:02.980',4.360
'0:02.984',4.335
'0:02.988',4.325
'0:02.992',4.300
'0:02.996',4.290
'0:03.000',4.290
'0:03.004',4.275
'0:03.008',4.275
'0:03.012',4.265
'0:03.016',4.290
'0:03.020',4.290
'0:03.024',4.260
'0:03.028',4.265
'0:03.032',4.265
'0:03.036',4.255
'0:03.040',4.275
'0:03.044',4.400
'0:03.048',4.675
'0:03.052',5.065
'0:03.056',5.345
'0:03.060',5.445
'0:03.064',5.315
'0:03.068',5.145
'0:03.072',4.990
'0:03.076',4.810
'0:03.080',4.660
'0:03.084',4.535
'0:03.088',4.445
'0:03.092',4.380
'0:03.096',4.325
'0:03.100',4.280
'0:03.104',4.260
'0:03.108',4.245
'0:03.112',4.225
'0:03.116',4.205
'0:03.120',4.190
'0:03.124',4.210
'0:03.128',4.195
'0:03.132',4.210
'0:03.136',4.205
'0:03.140',4.220
'0:03.144',4.220
'0:03.148',4.210
'0:03.152',4.190
'0:03.156',4.210
'0:03.160',4.210
'0:03.164',4.210
'0:03.168',4.210
'0:03.172',4.210
'0:03.176',4.220
'0:03.180',4.210
'0:03.184',4.190
'0:03.188',4.190
'0:03.192',4.185
'0:03.196',4.190
'0:03.200',4.190
'0:03.204',4.185
'0:03.208',4.185
'0:03.212',4.175
'0:03.216',4.160
'0:03.220',4.185
'0:03.224',4.145
'0:03.228',4.160
'0:03.232',4.160
'0:03.236',4.175
'0:03.240',4.185
'0:03.244',4.145
'0:03.248',4.135
'0:03.252',4.135
'0:03.256',4.160
'0:03.260',4.160
'0:03.264',4.155
'0:03.268',4.135
'0:03.272',4.135
'0:03.276',4.135
'0:03.280',4.145
'0:03.284',4.140
'0:03.288',4.145
'0:03.292',4.135
'0:03.296',4.145
'0:03.300',4.170
'0:03.304',4.175
'0:03.308',4.175
'0:03.312',4.185
'0:03.316',4.190
'0:03.320',4.210
'0:03.324',4.225
'0:03.328',4.230
'0:03.332',4.245
'0:03.336',4.265
'0:03.340',4.260
'0:03.344',4.275
'0:03.348',4.275
'0:03.352',4.275
'0:03.356',4.275
'0:03.360',4.265
'0:03.364',4.260
'0:03.368',4.265
'0:03.372',4.245
'0:03.376',4.245
'0:03.380',4.245
'0:03.384',4.275
'0:03.388',4.275
'0:03.392',4.255
'0:03.396',4.255
'0:03.400',4.245
'0:03.404',4.245
'0:03.408',4.275
'0:03.412',4.265
'0:03.416',4.275
'0:03.420',4.260
'0:03.424',4.245
'0:03.428',4.245
'0:03.432',4.230
'0:03.436',4.230
'0:03.440',4.230
'0:03.444',4.240
'0:03.448',4.255
'0:03.452',4.245
'0:03.456',4.230
'0:03.460',4.210
'0:03.464',4.210
'0:03.468',4.230
'0:03.472',4.240
'0:03.476',4.230
'0:03.480',4.220
'0:03.484',4.225
'0:03.488',4.220
'0:03.492',4.230
'0:03.496',4.230
'0:03.500',4.230
'0:03.504',4.225
'0:03.508',4.210
'0:03.512',4.210
'0:03.516',4.205
'0:03.520',4.190
'0:03.524',4.190
'0:03.528',4.185
'0:03.532',4.190
'0:03.536',4.190
'0:03.540',4.205
'0:03.544',4.210
'0:03.548',4.185
'0:03.552',4.175
'0:03.556',4.170
'0:03.560',4.170
'0:03.564',4.175
'0:03.568',4.160
'0:03.572',4.170
'0:03.576',4.185
'0:03.580',4.145
'0:03.584',4.155
'0:03.588',4.145
'0:03.592',4.160
'0:03.596',4.185
'0:03.600',4.160
'0:03.604',4.160
'0:03.608',4.160
'0:03.612',4.145
'0:03.616',4.140
'0:03.620',4.135
'0:03.624',4.155
'0:03.628',4.145
'0:03.632',4.155
'0:03.636',4.160
'0:03.640',4.170
'0:03.644',4.210
'0:03.648',4.245
'0:03.652',4.290
'0:03.656',4.330
'0:03.660',4.380
'0:03.664',4.395
'0:03.668',4.395
'0:03.672',4.435
'0:03.676',4.465
'0:03.680',4.515
'0:03.684',4.530
'0:03.688',4.515
'0:03.692',4.485
'0:03.696',4.435
'0:03.700',4.380
'0:03.704',4.295
'0:03.708',4.240
'0:03.712',4.190
'0:03.716',4.140
'0:03.720',4.135
'0:03.724',4.120
'0:03.728',4.120
'0:03.732',4.090
'0:03.736',4.055
'0:03.740',4.050
'0:03.744',4.020
'0:03.748',4.035
'0:03.752',4.050
'0:03.756',4.035
'0:03.760',4.020
'0:03.764',4.000
'0:03.768',4.005
'0:03.772',4.005
'0:03.776',4.005
'0:03.780',3.990
'0:03.784',3.980
'0:03.788',3.990
'0:03.792',3.965
'0:03.796',3.965
'0:03.800',4.005
'0:03.804',4.175
'0:03.808',4.455
'0:03.812',4.795
'0:03.816',5.065
'0:03.820',5.120
'0:03.824',4.980
'0:03.828',4.795
'0:03.832',4.600
'0:03.836',4.415
'0:03.840',4.290
'0:03.844',4.230
'0:03.848',4.190
'0:03.852',4.155
'0:03.856',4.085
'0:03.860',4.040
'0:03.864',4.005
'0:03.868',3.990
'0:03.872',3.965
'0:03.876',3.980
'0:03.880',3.980
'0:03.884',3.985
'0:03.888',3.965
'0:03.892',3.950
'0:03.896',3.955
'0:03.900',3.965
'0:03.904',3.990
'0:03.908',3.980
'0:03.912',4.000
'0:03.916',3.990
'0:03.920',3.965
'0:03.924',3.985
'0:03.928',3.985
'0:03.932',3.980
'0:03.936',3.990
'0:03.940',4.005
'0:03.944',4.020
'0:03.948',4.005
'0:03.952',3.985
'0:03.956',3.985
'0:03.960',3.980
'0:03.964',3.985
'0:03.968',3.985
'0:03.972',3.980
'0:03.976',3.970
'0:03.980',3.965
'0:03.984',3.965
'0:03.988',3.985
'0:03.992',3.985
'0:03.996',3.985
'0:04.000',3.990
'0:04.004',3.980
'0:04.008',3.980
'0:04.012',3.965
'0:04.016',3.965
'0:04.020',3.955
'0:04.024',3.965
'0:04.028',3.965
'0:04.032',3.985
'0:04.036',3.985
'0:04.040',3.970
'0:04.044',3.985
'0:04.048',3.985
'0:04.052',3.985
'0:04.056',3.985
'0:04.060',4.000
'0:04.064',4.020
'0:04.068',4.020
'0:04.072',4.040
'0:04.076',4.035
'0:04.080',4.055
'0:04.084',4.075
'0:04.088',4.085
'0:04.092',4.120
'0:04.096',4.125
'0:04.100',4.145
'0:04.104',4.125
'0:04.108',4.120
'0:04.112',4.105
'0:04.116',4.105
'0:04.120',4.140
'0:04.124',4.120
'0:04.128',4.105
'0:04.132',4.085
'0:04.136',4.075
'0:04.140',4.075
'0:04.144',4.085
'0:04.148',4.090
'0:04.152',4.075
'0:04.156',4.090
'0:04.160',4.100
'0:04.164',4.090
'0:04.168',4.090
'0:04.172',4.090
'0:04.176',4.105
'0:04.180',4.110
'0:04.184',4.105
'0:04.188',4.110
'0:04.192',4.105
'0:04.196',4.105
'0:04.200',4.100
'0:04.204',4.105
'0:04.208',4.100
'0:04.212',4.100
'0:04.216',4.105
'0:04.220',4.105
'0:04.224',4.105
'0:04.228',4.085
'0:04.232',4.075
'0:04.236',4.075
'0:04.240',4.065
'0:04.244',4.075
'0:04.248',4.090
'0:04.252',4.090
'0:04.256',4.100
'0:04.260',4.075
'0:04.264',4.085
'0:04.268',4.090
'0:04.272',4.070
'0:04.276',4.065
'0:04.280',4.065
'0:04.284',4.075
'0:04.288',4.050
'0:04.292',4.055
'0:04.296',4.055
'0:04.300',4.050
'0:04.304',4.055
'0:04.308',4.055
'0:04.312',4.065
'0:04.316',4.065
'0:04.320',4.040
'0:04.324',4.020
'0:04.328',4.020
'0:04.332',4.020
'0:04.336',4.040
'0:04.340',4.055
'0:04.344',4.065
'0:04.348',4.065
'0:04.352',4.040
'0:04.356',4.040
'0:04.360',4.030
'0:04.364',4.035
'0:04.368',4.040
'0:04.372',4.035
'0:04.376',4.035
'0:04.380',4.035
'0:04.384',4.020
'0:04.388',4.020
'0:04.392',4.020
'0:04.396',4.035
'0:04.400',4.050
'0:04.404',4.050
'0:04.408',4.055
'0:04.412',4.065
'0:04.416',4.075
'0:04.420',4.105
'0:04.424',4.145
'0:04.428',4.210
'0:04.432',4.245
'0:04.436',4.275
'0:04.440',4.265
'0:04.444',4.280
'0:04.448',4.325
'0:04.452',4.380
'0:04.456',4.415
'0:04.460',4.380
'0:04.464',4.330
'0:04.468',4.290
'0:04.472',4.245
'0:04.476',4.210
'0:04.480',4.125
'0:04.484',4.055
'0:04.488',4.020
'0:04.492',3.990
'0:04.496',3.990
'0:04.500',4.000
'0:04.504',3.980
'0:04.508',3.965
'0:04.512',3.950
'0:04.516',3.945
'0:04.520',3.935
'0:04.524',3.920
'0:04.528',3.910
'0:04.532',3.930
'0:04.536',3.930
'0:04.540',3.920
'0:04.544',3.910
'0:04.548',3.930
'0:04.552',3.910
'0:04.556',3.895
'0:04.560',3.880
'0:04.564',3.880
'0:04.568',3.875
'0:04.572',3.880
'0:04.576',3.985
'0:04.580',4.190
'0:04.584',4.550
'0:04.588',4.885
'0:04.592',5.035
'0:04.596',4.990
'0:04.600',4.825
'0:04.604',4.605
'0:04.608',4.400
'0:04.612',4.260
'0:04.616',4.185
'0:04.620',4.120
'0:04.624',4.040
'0:04.628',4.005
'0:04.632',3.955
'0:04.636',3.920
'0:04.640',3.895
'0:04.644',3.865
'0:04.648',3.895
'0:04.652',3.895
'0:04.656',3.880
'0:04.660',3.880
'0:04.664',3.865
'0:04.668',3.880
'0:04.672',3.880
'0:04.676',3.880
'0:04.680',3.885
'0:04.684',3.885
'0:04.688',3.895
'0:04.692',3.880
'0:04.696',3.880
'0:04.700',3.885
'0:04.704',3.895
'0:04.708',3.885
'0:04.712',3.900
'0:04.716',3.920
'0:04.720',3.900
'0:04.724',3.895
'0:04.728',3.885
'0:04.732',3.880
'0:04.736',3.875
'0:04.740',3.880
'0:04.744',3.910
'0:04.748',3.910
'0:04.752',3.895
'0:04.756',3.895
'0:04.760',3.885
'0:04.764',3.895
'0:04.768',3.880
'0:04.772',3.880
'0:04.776',3.880
'0:04.780',3.880
'0:04.784',3.875
'0:04.788',3.860
'0:04.792',3.865
'0:04.796',3.880
'0:04.800',3.880
'0:04.804',3.880
'0:04.808',3.885
'0:04.812',3.865
'0:04.816',3.895
'0:04.820',3.885
'0:04.824',3.885
'0:04.828',3.895
'0:04.832',3.910
'0:04.836',3.920
'0:04.840',3.935
'0:04.844',3.965
'0:04.848',3.955
'0:04.852',3.965
'0:04.856',3.990
'0:04.860',3.990
'0:04.864',3.990
'0:04.868',4.005
'0:04.872',4.020
'0:04.876',4.020
'0:04.880',4.005
'0:04.884',4.005
'0:04.888',4.005
'0:04.892',4.000
'0:04.896',3.990
'0:04.900',3.990
'0:04.904',4.000
'0:04.908',3.990
'0:04.912',3.990
'0:04.916',3.990
'0:04.920',3.980
'0:04.924',3.990
'0:04.928',3.990
'0:04.932',4.005
'0:04.936',3.990
'0:04.940',3.985
'0:04.944',3.965
'0:04.948',3.985
'0:04.952',4.000
'0:04.956',4.000
'0:04.960',3.990
'0:04.964',4.000
'0:04.968',4.005
'0:04.972',4.005
'0:04.976',3.985
'0:04.980',3.965
'0:04.984',4.000
'0:04.988',4.005
'0:04.992',4.015
'0:04.996',4.015
'0:05.000',3.965
'0:05.004',3.980
'0:05.008',3.965
'0:05.012',3.980
'0:05.016',3.965
'0:05.020',3.985
'0:05.024',4.005
'0:05.028',4.005
'0:05.032',4.000
'0:05.036',3.980
'0:05.040',3.965
'0:05.044',3.965
'0:05.048',3.970
'0:05.052',3.985
'0:05.056',3.985
'0:05.060',3.980
'0:05.064',3.985
'0:05.068',3.965
