'Elapsed time','MLII'
'0:10.417',-0.590
'0:10.419',-0.600
'0:10.422',-0.595
'0:10.425',-0.620
'0:10.428',-0.620
'0:10.431',-0.620
'0:10.433',-0.620
'0:10.436',-0.615
'0:10.439',-0.615
'0:10.442',-0.610
'0:10.444',-0.610
'0:10.447',-0.610
'0:10.450',-0.605
'0:10.453',-0.625
'0:10.456',-0.630
'0:10.458',-0.635
'0:10.461',-0.645
'0:10.464',-0.650
'0:10.467',-0.645
'0:10.469',-0.650
'0:10.472',-0.645
'0:10.475',-0.645
'0:10.478',-0.630
'0:10.481',-0.640
'0:10.483',-0.655
'0:10.486',-0.650
'0:10.489',-0.655
'0:10.492',-0.665
'0:10.494',-0.665
'0:10.497',-0.665
'0:10.500',-0.680
'0:10.503',-0.680
'0:10.506',-0.670
'0:10.508',-0.660
'0:10.511',-0.655
'0:10.514',-0.670
'0:10.517',-0.655
'0:10.519',-0.660
'0:10.522',-0.680
'0:10.525',-0.685
'0:10.528',-0.690
'0:10.531',-0.685
'0:10.533',-0.690
'0:10.536',-0.680
'0:10.539',-0.680
'0:10.542',-0.675
'0:10.544',-0.665
'0:10.547',-0.665
'0:10.550',-0.670
'0:10.553',-0.680
'0:10.556',-0.675
'0:10.558',-0.680
'0:10.561',-0.665
'0:10.564',-0.665
'0:10.567',-0.640
'0:10.569',-0.625
'0:10.572',-0.605
'0:10.575',-0.595
'0:10.578',-0.580
'0:10.581',-0.585
'0:10.583',-0.580
'0:10.586',-0.570
'0:10.589',-0.585
'0:10.592',-0.590
'0:10.594',-0.600
'0:10.597',-0.605
'0:10.600',-0.590
'0:10.603',-0.575
'0:10.606',-0.560
'0:10.608',-0.555
'0:10.611',-0.540
'0:10.614',-0.545
'0:10.617',-0.550
'0:10.619',-0.575
'0:10.622',-0.590
'0:10.625',-0.620
'0:10.628',-0.640
'0:10.631',-0.655
'0:10.633',-0.655
'0:10.636',-0.645
'0:10.639',-0.650
'0:10.642',-0.650
'0:10.644',-0.655
'0:10.647',-0.655
'0:10.650',-0.670
'0:10.653',-0.705
'0:10.656',-0.720
'0:10.658',-0.730
'0:10.661',-0.745
'0:10.664',-0.750
'0:10.667',-0.755
'0:10.669',-0.750
'0:10.672',-0.755
'0:10.675',-0.735
'0:10.678',-0.745
'0:10.681',-0.750
'0:10.683',-0.755
'0:10.686',-0.755
'0:10.689',-0.765
'0:10.692',-0.755
'0:10.694',-0.760
'0:10.697',-0.765
'0:10.700',-0.760
'0:10.703',-0.745
'0:10.706',-0.745
'0:10.708',-0.735
'0:10.711',-0.735
'0:10.714',-0.735
'0:10.717',-0.725
'0:10.719',-0.740
'0:10.722',-0.735
'0:10.725',-0.740
'0:10.728',-0.730
'0:10.731',-0.665
'0:10.733',-0.610
'0:10.736',-0.520
'0:10.739',-0.400
'0:10.742',-0.265
'0:10.744',-0.145
'0:10.747',-0.020
'0:10.750',0.055
'0:10.753',0.060
'0:10.756',-0.010
'0:10.758',-0.125
'0:10.761',-0.260
'0:10.764',-0.385
'0:10.767',-0.525
'0:10.769',-0.675
'0:10.772',-0.810
'0:10.775',-0.910
'0:10.778',-0.940
'0:10.781',-0.950
'0:10.783',-0.925
'0:10.786',-0.900
'0:10.789',-0.875
'0:10.792',-0.855
'0:10.794',-0.850
'0:10.797',-0.850
'0:10.800',-0.875
'0:10.803',-0.870
'0:10.806',-0.870
'0:10.808',-0.865
'0:10.811',-0.855
'0:10.814',-0.850
'0:10.817',-0.860
'0:10.819',-0.865
'0:10.822',-0.860
'0:10.825',-0.865
'0:10.828',-0.865
'0:10.831',-0.880
'0:10.833',-0.870
'0:10.836',-0.860
'0:10.839',-0.860
'0:10.842',-0.865
'0:10.844',-0.845
'0:10.847',-0.845
'0:10.850',-0.855
'0:10.853',-0.865
'0:10.856',-0.875
'0:10.858',-0.885
'0:10.861',-0.905
'0:10.864',-0.895
'0:10.867',-0.890
'0:10.869',-0.880
'0:10.872',-0.870
'0:10.875',-0.880
'0:10.878',-0.880
'0:10.881',-0.880
'0:10.883',-0.890
'0:10.886',-0.915
'0:10.889',-0.915
'0:10.892',-0.930
'0:10.894',-0.925
'0:10.897',-0.930
'0:10.900',-0.915
'0:10.903',-0.910
'0:10.906',-0.910
'0:10.908',-0.915
'0:10.911',-0.905
'0:10.914',-0.920
'0:10.917',-0.915
'0:10.919',-0.940
'0:10.922',-0.960
'0:10.925',-0.945
'0:10.928',-0.960
'0:10.931',-0.960
'0:10.933',-0.965
'0:10.936',-0.965
'0:10.939',-0.955
'0:10.942',-0.955
'0:10.944',-0.960
'0:10.947',-0.955
'0:10.950',-0.965
'0:10.953',-0.985
'0:10.956',-0.990
'0:10.958',-1.005
'0:10.961',-0.995
'0:10.964',-1.000
'0:10.967',-1.000
'0:10.969',-1.000
'0:10.972',-1.000
'0:10.975',-0.985
'0:10.978',-0.995
'0:10.981',-0.990
'0:10.983',-0.990
'0:10.986',-1.010
'0:10.989',-1.010
'0:10.992',-1.015
'0:10.994',-1.015
'0:10.997',-1.005
'0:11.000',-0.995
'0:11.003',-0.995
'0:11.006',-0.980
'0:11.008',-0.975
'0:11.011',-0.955
'0:11.014',-0.950
'0:11.017',-0.960
'0:11.019',-0.970
'0:11.022',-0.955
'0:11.025',-0.960
'0:11.028',-0.955
'0:11.031',-0.940
'0:11.033',-0.920
'0:11.036',-0.900
'0:11.039',-0.875
'0:11.042',-0.865
'0:11.044',-0.835
'0:11.047',-0.810
'0:11.050',-0.785
'0:11.053',-0.765
'0:11.056',-0.765
'0:11.058',-0.745
'0:11.061',-0.725
'0:11.064',-0.720
'0:11.067',-0.705
'0:11.069',-0.700
'0:11.072',-0.675
'0:11.075',-0.660
'0:11.078',-0.645
'0:11.081',-0.635
'0:11.083',-0.625
'0:11.086',-0.630
'0:11.089',-0.645
'0:11.092',-0.630
'0:11.094',-0.650
'0:11.097',-0.630
'0:11.100',-0.635
'0:11.103',-0.635
'0:11.106',-0.625
'0:11.108',-0.625
'0:11.111',-0.615
'0:11.114',-0.635
'0:11.117',-0.630
'0:11.119',-0.650
'0:11.122',-0.660
'0:11.125',-0.675
'0:11.128',-0.670
'0:11.131',-0.685
'0:11.133',-0.680
'0:11.136',-0.685
'0:11.139',-0.685
'0:11.142',-0.675
'0:11.144',-0.670
'0:11.147',-0.670
'0:11.150',-0.670
'0:11.153',-0.675
'0:11.156',-0.685
'0:11.158',-0.700
'0:11.161',-0.705
'0:11.164',-0.705
'0:11.167',-0.700
'0:11.169',-0.695
'0:11.172',-0.690
'0:11.175',-0.695
'0:11.178',-0.685
'0:11.181',-0.690
'0:11.183',-0.685
'0:11.186',-0.705
'0:11.189',-0.715
'0:11.192',-0.720
'0:11.194',-0.720
'0:11.197',-0.715
'0:11.200',-0.720
'0:11.203',-0.720
'0:11.206',-0.710
'0:11.208',-0.710
'0:11.211',-0.700
'0:11.214',-0.710
'0:11.217',-0.715
'0:11.219',-0.710
'0:11.222',-0.720
'0:11.225',-0.725
'0:11.228',-0.730
'0:11.231',-0.735
'0:11.233',-0.730
'0:11.236',-0.720
'0:11.239',-0.710
'0:11.242',-0.700
'0:11.244',-0.695
'0:11.247',-0.700
'0:11.250',-0.700
'0:11.253',-0.680
'0:11.256',-0.685
'0:11.258',-0.675
'0:11.261',-0.670
'0:11.264',-0.665
'0:11.267',-0.645
'0:11.269',-0.630
'0:11.272',-0.620
'0:11.275',-0.615
'0:11.278',-0.600
'0:11.281',-0.625
'0:11.283',-0.625
'0:11.286',-0.630
'0:11.289',-0.635
'0:11.292',-0.645
'0:11.294',-0.635
'0:11.297',-0.635
'0:11.300',-0.620
'0:11.303',-0.600
'0:11.306',-0.600
'0:11.308',-0.605
'0:11.311',-0.615
'0:11.314',-0.645
'0:11.317',-0.680
'0:11.319',-0.710
'0:11.322',-0.700
'0:11.325',-0.705
'0:11.328',-0.710
'0:11.331',-0.715
'0:11.333',-0.725
'0:11.336',-0.730
'0:11.339',-0.730
'0:11.342',-0.760
'0:11.344',-0.750
'0:11.347',-0.775
'0:11.350',-0.765
'0:11.353',-0.775
'0:11.356',-0.795
'0:11.358',-0.795
'0:11.361',-0.815
'0:11.364',-0.805
'0:11.367',-0.805
'0:11.369',-0.800
'0:11.372',-0.795
'0:11.375',-0.790
'0:11.378',-0.785
'0:11.381',-0.795
'0:11.383',-0.785
'0:11.386',-0.805
'0:11.389',-0.805
'0:11.392',-0.795
'0:11.394',-0.790
'0:11.397',-0.800
'0:11.400',-0.795
'0:11.403',-0.790
'0:11.406',-0.785
'0:11.408',-0.790
'0:11.411',-0.770
'0:11.414',-0.775
'0:11.417',-0.750
'0:11.419',-0.720
'0:11.422',-0.675
'0:11.425',-0.605
'0:11.428',-0.500
'0:11.431',-0.390
'0:11.433',-0.255
'0:11.436',-0.135
'0:11.439',-0.025
'0:11.442',0.015
'0:11.444',0.000
'0:11.447',-0.095
'0:11.450',-0.225
'0:11.453',-0.360
'0:11.456',-0.475
'0:11.458',-0.590
'0:11.461',-0.730
'0:11.464',-0.860
'0:11.467',-0.965
'0:11.469',-1.025
'0:11.472',-1.035
'0:11.475',-1.010
'0:11.478',-0.970
'0:11.481',-0.945
'0:11.483',-0.940
'0:11.486',-0.940
'0:11.489',-0.935
'0:11.492',-0.940
'0:11.494',-0.945
'0:11.497',-0.940
'0:11.500',-0.925
'0:11.503',-0.910
'0:11.506',-0.905
'0:11.508',-0.895
'0:11.511',-0.885
'0:11.514',-0.890
'0:11.517',-0.905
'0:11.519',-0.900
'0:11.522',-0.915
'0:11.525',-0.930
'0:11.528',-0.915
'0:11.531',-0.920
'0:11.533',-0.920
'0:11.536',-0.925
'0:11.539',-0.910
'0:11.542',-0.910
'0:11.544',-0.900
'0:11.547',-0.900
'0:11.550',-0.910
'0:11.553',-0.925
'0:11.556',-0.925
'0:11.558',-0.940
'0:11.561',-0.940
'0:11.564',-0.925
'0:11.567',-0.940
'0:11.569',-0.940
'0:11.572',-0.950
'0:11.575',-0.935
'0:11.578',-0.930
'0:11.581',-0.935
'0:11.583',-0.935
'0:11.586',-0.945
'0:11.589',-0.955
'0:11.592',-0.960
'0:11.594',-0.960
'0:11.597',-0.970
'0:11.600',-0.975
'0:11.603',-0.965
'0:11.606',-0.960
'0:11.608',-0.960
'0:11.611',-0.950
'0:11.614',-0.970
'0:11.617',-0.965
'0:11.619',-0.970
'0:11.622',-0.980
'0:11.625',-0.990
'0:11.628',-0.990
'0:11.631',-1.000
'0:11.633',-1.005
'0:11.636',-1.000
'0:11.639',-0.995
'0:11.642',-1.000
'0:11.644',-0.995
'0:11.647',-0.995
'0:11.650',-1.005
'0:11.653',-1.015
'0:11.656',-1.030
'0:11.658',-1.035
'0:11.661',-1.040
'0:11.664',-1.045
'0:11.667',-1.035
'0:11.669',-1.025
'0:11.672',-1.015
'0:11.675',-1.015
'0:11.678',-1.005
'0:11.681',-1.005
'0:11.683',-1.000
'0:11.686',-1.005
'0:11.689',-1.005
'0:11.692',-1.010
'0:11.694',-1.010
'0:11.697',-1.010
'0:11.700',-0.990
'0:11.703',-0.980
'0:11.706',-0.965
'0:11.708',-0.950
'0:11.711',-0.935
'0:11.714',-0.920
'0:11.717',-0.915
'0:11.719',-0.905
'0:11.722',-0.900
'0:11.725',-0.895
'0:11.728',-0.870
'0:11.731',-0.860
'0:11.733',-0.830
'0:11.736',-0.805
'0:11.739',-0.775
'0:11.742',-0.755
'0:11.744',-0.720
'0:11.747',-0.695
'0:11.750',-0.700
'0:11.753',-0.685
'0:11.756',-0.690
'0:11.758',-0.675
'0:11.761',-0.675
'0:11.764',-0.655
'0:11.767',-0.655
'0:11.769',-0.645
'0:11.772',-0.635
'0:11.775',-0.635
'0:11.778',-0.625
'0:11.781',-0.640
'0:11.783',-0.645
'0:11.786',-0.650
'0:11.789',-0.660
'0:11.792',-0.670
'0:11.794',-0.670
'0:11.797',-0.675
'0:11.800',-0.685
'0:11.803',-0.695
'0:11.806',-0.680
'0:11.808',-0.685
'0:11.811',-0.685
'0:11.814',-0.700
'0:11.817',-0.690
'0:11.819',-0.705
'0:11.822',-0.710
'0:11.825',-0.715
'0:11.828',-0.720
'0:11.831',-0.735
'0:11.833',-0.730
'0:11.836',-0.725
'0:11.839',-0.720
'0:11.842',-0.720
'0:11.844',-0.715
'0:11.847',-0.720
'0:11.850',-0.730
'0:11.853',-0.725
'0:11.856',-0.730
'0:11.858',-0.735
'0:11.861',-0.745
'0:11.864',-0.745
'0:11.867',-0.750
'0:11.869',-0.755
'0:11.872',-0.750
'0:11.875',-0.745
'0:11.878',-0.745
'0:11.881',-0.740
'0:11.883',-0.745
'0:11.886',-0.745
'0:11.889',-0.765
'0:11.892',-0.775
'0:11.894',-0.765
'0:11.897',-0.770
'0:11.900',-0.760
'0:11.903',-0.740
'0:11.906',-0.740
'0:11.908',-0.735
'0:11.911',-0.735
'0:11.914',-0.745
'0:11.917',-0.755
'0:11.919',-0.755
'0:11.922',-0.750
'0:11.925',-0.750
'0:11.928',-0.755
'0:11.931',-0.755
'0:11.933',-0.755
'0:11.936',-0.740
'0:11.939',-0.725
'0:11.942',-0.710
'0:11.944',-0.685
'0:11.947',-0.685
'0:11.950',-0.675
'0:11.953',-0.670
'0:11.956',-0.655
'0:11.958',-0.655
'0:11.961',-0.665
'0:11.964',-0.660
'0:11.967',-0.665
'0:11.969',-0.660
'0:11.972',-0.660
'0:11.975',-0.655
'0:11.978',-0.640
'0:11.981',-0.640
'0:11.983',-0.645
'0:11.986',-0.630
'0:11.989',-0.625
'0:11.992',-0.630
'0:11.994',-0.635
'0:11.997',-0.650
'0:12.000',-0.675
'0:12.003',-0.685
'0:12.006',-0.690
'0:12.008',-0.695
'0:12.011',-0.695
'0:12.014',-0.690
'0:12.017',-0.715
'0:12.019',-0.710
'0:12.022',-0.730
'0:12.025',-0.735
'0:12.028',-0.755
'0:12.031',-0.775
'0:12.033',-0.790
'0:12.036',-0.795
'0:12.039',-0.785
'0:12.042',-0.790
'0:12.044',-0.785
'0:12.047',-0.795
'0:12.050',-0.805
'0:12.053',-0.810
'0:12.056',-0.820
'0:12.058',-0.820
'0:12.061',-0.820
'0:12.064',-0.820
'0:12.067',-0.815
'0:12.069',-0.825
'0:12.072',-0.805
'0:12.075',-0.795
'0:12.078',-0.790
'0:12.081',-0.795
'0:12.083',-0.800
'0:12.086',-0.810
'0:12.089',-0.810
'0:12.092',-0.815
'0:12.094',-0.810
'0:12.097',-0.810
'0:12.100',-0.820
'0:12.103',-0.800
'0:12.106',-0.795
'0:12.108',-0.780
'0:12.111',-0.750
'0:12.114',-0.710
'0:12.117',-0.665
'0:12.119',-0.590
'0:12.122',-0.485
'0:12.125',-0.365
'0:12.128',-0.230
'0:12.131',-0.125
'0:12.133',-0.060
'0:12.136',-0.055
'0:12.139',-0.110
'0:12.142',-0.220
'0:12.144',-0.360
'0:12.147',-0.495
'0:12.150',-0.640
'0:12.153',-0.800
'0:12.156',-0.965
'0:12.158',-1.080
'0:12.161',-1.115
'0:12.164',-1.110
'0:12.167',-1.090
'0:12.169',-1.050
'0:12.172',-1.025
'0:12.175',-0.990
'0:12.178',-0.975
'0:12.181',-0.970
'0:12.183',-0.965
'0:12.186',-0.955
'0:12.189',-0.950
'0:12.192',-0.940
'0:12.194',-0.930
'0:12.197',-0.930
'0:12.200',-0.930
'0:12.203',-0.915
'0:12.206',-0.915
'0:12.208',-0.910
'0:12.211',-0.900
'0:12.214',-0.900
'0:12.217',-0.915
'0:12.219',-0.910
'0:12.222',-0.915
'0:12.225',-0.940
'0:12.228',-0.940
'0:12.231',-0.945
'0:12.233',-0.940
'0:12.236',-0.925
'0:12.239',-0.920
'0:12.242',-0.920
'0:12.244',-0.915
'0:12.247',-0.915
'0:12.250',-0.925
'0:12.253',-0.930
'0:12.256',-0.940
'0:12.258',-0.935
'0:12.261',-0.935
'0:12.264',-0.945
'0:12.267',-0.955
'0:12.269',-0.955
'0:12.272',-0.945
'0:12.275',-0.945
'0:12.278',-0.930
'0:12.281',-0.940
'0:12.283',-0.945
'0:12.286',-0.945
'0:12.289',-0.955
'0:12.292',-0.965
'0:12.294',-0.970
'0:12.297',-0.980
'0:12.300',-0.985
'0:12.303',-0.970
'0:12.306',-0.965
'0:12.308',-0.970
'0:12.311',-0.960
'0:12.314',-0.975
'0:12.317',-0.970
'0:12.319',-0.980
'0:12.322',-0.990
'0:12.325',-0.990
'0:12.328',-1.000
'0:12.331',-1.025
'0:12.333',-1.020
'0:12.336',-1.015
'0:12.339',-1.000
'0:12.342',-1.015
'0:12.344',-1.000
'0:12.347',-1.000
'0:12.350',-1.005
'0:12.353',-1.025
'0:12.356',-1.030
'0:12.358',-1.040
'0:12.361',-1.040
'0:12.364',-1.045
'0:12.367',-1.040
'0:12.369',-1.030
'0:12.372',-1.015
'0:12.375',-1.015
'0:12.378',-1.000
'0:12.381',-1.005
'0:12.383',-1.000
'0:12.386',-1.010
'0:12.389',-1.015
'0:12.392',-1.020
'0:12.394',-1.020
'0:12.397',-1.025
'0:12.400',-1.015
'0:12.403',-0.985
'0:12.406',-0.965
'0:12.408',-0.950
'0:12.411',-0.930
'0:12.414',-0.910
'0:12.417',-0.920
'0:12.419',-0.900
'0:12.422',-0.880
'0:12.425',-0.870
'0:12.428',-0.855
'0:12.431',-0.845
'0:12.433',-0.805
'0:12.436',-0.785
'0:12.439',-0.765
'0:12.442',-0.750
'0:12.444',-0.725
'0:12.447',-0.715
'0:12.450',-0.705
'0:12.453',-0.695
'0:12.456',-0.700
'0:12.458',-0.680
'0:12.461',-0.680
'0:12.464',-0.680
'0:12.467',-0.675
'0:12.469',-0.665
'0:12.472',-0.660
'0:12.475',-0.655
'0:12.478',-0.650
'0:12.481',-0.645
'0:12.483',-0.665
'0:12.486',-0.680
'0:12.489',-0.685
'0:12.492',-0.690
'0:12.494',-0.685
'0:12.497',-0.700
'0:12.500',-0.700
'0:12.503',-0.705
'0:12.506',-0.695
'0:12.508',-0.690
'0:12.511',-0.690
'0:12.514',-0.705
'0:12.517',-0.720
'0:12.519',-0.720
'0:12.522',-0.720
'0:12.525',-0.730
'0:12.528',-0.745
'0:12.531',-0.750
'0:12.533',-0.750
'0:12.536',-0.740
'0:12.539',-0.740
'0:12.542',-0.745
'0:12.544',-0.735
'0:12.547',-0.735
'0:12.550',-0.740
'0:12.553',-0.745
'0:12.556',-0.755
'0:12.558',-0.765
'0:12.561',-0.770
'0:12.564',-0.785
'0:12.567',-0.785
'0:12.569',-0.785
'0:12.572',-0.770
'0:12.575',-0.760
'0:12.578',-0.755
'0:12.581',-0.755
'0:12.583',-0.760
'0:12.586',-0.785
'0:12.589',-0.775
'0:12.592',-0.795
'0:12.594',-0.795
'0:12.597',-0.795
'0:12.600',-0.805
'0:12.603',-0.775
'0:12.606',-0.775
'0:12.608',-0.770
'0:12.611',-0.760
'0:12.614',-0.760
'0:12.617',-0.765
'0:12.619',-0.760
'0:12.622',-0.775
'0:12.625',-0.785
'0:12.628',-0.790
'0:12.631',-0.790
'0:12.633',-0.790
'0:12.636',-0.785
'0:12.639',-0.775
'0:12.642',-0.765
'0:12.644',-0.765
'0:12.647',-0.760
'0:12.650',-0.755
'0:12.653',-0.740
'0:12.656',-0.745
'0:12.658',-0.740
'0:12.661',-0.725
'0:12.664',-0.720
'0:12.667',-0.705
'0:12.669',-0.695
'0:12.672',-0.690
'0:12.675',-0.685
'0:12.678',-0.680
'0:12.681',-0.685
'0:12.683',-0.685
'0:12.686',-0.690
'0:12.689',-0.700
'0:12.692',-0.695
'0:12.694',-0.690
'0:12.697',-0.685
'0:12.700',-0.675
'0:12.703',-0.665
'0:12.706',-0.675
'0:12.708',-0.690
'0:12.711',-0.710
'0:12.714',-0.725
'0:12.717',-0.735
'0:12.719',-0.740
'0:12.722',-0.755
'0:12.725',-0.760
'0:12.728',-0.765
'0:12.731',-0.765
'0:12.733',-0.770
'0:12.736',-0.785
'0:12.739',-0.790
'0:12.742',-0.800
'0:12.744',-0.805
'0:12.747',-0.805
'0:12.750',-0.825
'0:12.753',-0.835
'0:12.756',-0.835
'0:12.758',-0.855
'0:12.761',-0.855
'0:12.764',-0.855
'0:12.767',-0.855
'0:12.769',-0.850
'0:12.772',-0.845
'0:12.775',-0.845
'0:12.778',-0.835
'0:12.781',-0.835
'0:12.783',-0.840
'0:12.786',-0.840
'0:12.789',-0.855
'0:12.792',-0.850
'0:12.794',-0.865
'0:12.797',-0.855
'0:12.800',-0.855
'0:12.803',-0.850
'0:12.806',-0.840
'0:12.808',-0.835
'0:12.811',-0.825
'0:12.814',-0.825
'0:12.817',-0.820
'0:12.819',-0.795
'0:12.822',-0.775
'0:12.825',-0.725
'0:12.828',-0.660
'0:12.831',-0.580
'0:12.833',-0.470
'0:12.836',-0.330
'0:12.839',-0.235
'0:12.842',-0.135
'0:12.844',-0.080
'0:12.847',-0.100
'0:12.850',-0.175
'0:12.853',-0.280
'0:12.856',-0.405
'0:12.858',-0.530
'0:12.861',-0.655
'0:12.864',-0.810
'0:12.867',-0.955
'0:12.869',-1.075
'0:12.872',-1.125
'0:12.875',-1.130
'0:12.878',-1.110
'0:12.881',-1.090
'0:12.883',-1.080
'0:12.886',-1.070
'0:12.889',-1.075
'0:12.892',-1.055
'0:12.894',-1.055
'0:12.897',-1.030
'0:12.900',-0.990
'0:12.903',-0.975
'0:12.906',-0.955
'0:12.908',-0.960
'0:12.911',-0.955
'0:12.914',-0.950
'0:12.917',-0.955
'0:12.919',-0.965
'0:12.922',-0.970
'0:12.925',-0.975
'0:12.928',-0.985
'0:12.931',-1.000
'0:12.933',-0.980
'0:12.936',-0.980
'0:12.939',-0.990
'0:12.942',-0.970
'0:12.944',-0.955
'0:12.947',-0.960
'0:12.950',-0.965
'0:12.953',-0.960
'0:12.956',-0.980
'0:12.958',-0.980
'0:12.961',-0.985
'0:12.964',-0.990
'0:12.967',-0.990
'0:12.969',-0.985
'0:12.972',-0.980
'0:12.975',-0.980
'0:12.978',-0.970
'0:12.981',-0.975
'0:12.983',-0.970
'0:12.986',-0.985
'0:12.989',-0.990
'0:12.992',-0.990
'0:12.994',-1.000
'0:12.997',-1.010
'0:13.000',-1.015
'0:13.003',-1.015
'0:13.006',-1.010
'0:13.008',-1.010
'0:13.011',-1.005
'0:13.014',-1.005
'0:13.017',-1.025
'0:13.019',-1.020
'0:13.022',-1.035
'0:13.025',-1.035
'0:13.028',-1.040
'0:13.031',-1.040
'0:13.033',-1.045
'0:13.036',-1.045
'0:13.039',-1.055
'0:13.042',-1.035
'0:13.044',-1.020
'0:13.047',-1.025
'0:13.050',-1.025
'0:13.053',-1.030
'0:13.056',-1.035
'0:13.058',-1.050
'0:13.061',-1.055
'0:13.064',-1.065
'0:13.067',-1.060
'0:13.069',-1.060
'0:13.072',-1.050
'0:13.075',-1.050
'0:13.078',-1.055
'0:13.081',-1.045
'0:13.083',-1.045
'0:13.086',-1.040
'0:13.089',-1.040
'0:13.092',-1.050
'0:13.094',-1.040
'0:13.097',-1.050
'0:13.100',-1.050
'0:13.103',-1.035
'0:13.106',-1.025
'0:13.108',-1.010
'0:13.111',-0.990
'0:13.114',-0.980
'0:13.117',-0.975
'0:13.119',-0.970
'0:13.122',-0.955
'0:13.125',-0.960
'0:13.128',-0.945
'0:13.131',-0.940
'0:13.133',-0.920
'0:13.136',-0.885
'0:13.139',-0.865
'0:13.142',-0.845
'0:13.144',-0.815
'0:13.147',-0.805
'0:13.150',-0.790
'0:13.153',-0.775
'0:13.156',-0.765
'0:13.158',-0.740
'0:13.161',-0.740
'0:13.164',-0.715
'0:13.167',-0.705
'0:13.169',-0.695
'0:13.172',-0.690
'0:13.175',-0.695
'0:13.178',-0.675
'0:13.181',-0.675
'0:13.183',-0.680
'0:13.186',-0.685
'0:13.189',-0.690
'0:13.192',-0.705
'0:13.194',-0.720
'0:13.197',-0.715
'0:13.200',-0.725
'0:13.203',-0.725
'0:13.206',-0.720
'0:13.208',-0.740
'0:13.211',-0.725
'0:13.214',-0.735
'0:13.217',-0.745
'0:13.219',-0.760
'0:13.222',-0.755
'0:13.225',-0.765
'0:13.228',-0.775
